"","plot_id","loc_name","long_in_degrees","lat_in_degrees","start_date","end_date","duration_in_days","duration_in_years","measurement_freq_in_mins","depth_in_m","temp_degC_percentage_missing_values","no_of_data","net_no_of_data","climate_classification","annual_a_mean","annual_gm_mean","annual_median","annual_ninetieth_perc"
"1","1.1","Belize, Stann Creek, Carrie Bow Cay",-88.082072,16.80127,"2001-03-20 19:10:00","2005-02-09 9:30:00",1422,3.895,10,0,13.2401287668958,204711,177607,"Tropical",8.05679661e-07,8.01203596975944e-07,8.061076025e-07,8.923116995e-07
"2","1.2","Belize, Stann Creek, Carrie Bow Cay",-88.082072,16.80127,"2000-03-03 16:10:00","2019-10-13 7:15:00",5028,16.598,10,2,46.518135974239,822950,440129,"Tropical",5.524606626e-07,5.30606686004058e-07,5.82430104e-07,6.9313878e-07
"3","2.1","Belize, Stann Creek, Carrie Bow Cay",-88.079817,16.8009,"2000-03-04 21:30:00","2012-09-24 23:00:00",4587,12.567,10,2,53.1400161686383,660538,309528,"Tropical",5.693837238e-07,5.54893778857527e-07,5.50744395e-07,6.267928404e-07
"4","2.2","Belize, Stann Creek, Carrie Bow Cay",-88.079817,16.8009,"2001-03-17 22:30:00","2018-09-28 21:15:00",4100,14.041,10,5,34.3088975287385,688798,452479,"Tropical",4.39050315857143e-07,4.31960970414565e-07,4.56174529e-07,5.113206072e-07
"5","3","Belize, Stann Creek, Carrie Bow Cay",-88.07863,16.79972,"2000-03-03 16:10:00","2018-09-25 5:15:00",5326,15.939,10,10,38.3694008723026,814167,501776,"Tropical",4.91977623529412e-07,4.64922926707939e-07,4.86769067e-07,6.444914422e-07
"6","6.2","Belize, Stann Creek, Curlew Caye",-88.07653,16.77592,"2017-10-03 15:00:00","2019-10-11 20:30:00",738,2.023,15,10,0,70871,70871,"Tropical",2.89884728333333e-07,2.1534511867843e-07,3.54831743e-07,4.330834038e-07
"7","8.1","Belize, Stann Creek, Cat Cay",-88.199404,16.652092,"2000-03-07 18:10:00","2001-03-18 18:00:00",376,1.03,10,0,0.0591016548463357,54144,54112,"Tropical",4.61186762e-07,4.09736933769002e-07,4.61186762e-07,6.305316164e-07
"8","8.2","Belize, Stann Creek, Cat Cay",-88.199404,16.652092,"2001-03-18 20:20:00","2002-03-15 3:30:00",361,0.99,10,2,37.4990389790113,52028,32518,"Tropical",5.30638729e-07,5.30638729e-07,5.30638729e-07,5.30638729e-07
"9","9.1","Belize, Stann Creek, Cat Cay",-88.196906,16.651963,"2000-08-05 19:10:00","2001-03-18 17:50:00",225,0.616,10,0,0,32393,32393,"Tropical",5.68335784e-07,5.68335784e-07,5.68335784e-07,5.68335784e-07
"10","9.2","Belize, Stann Creek, Cat Cay",-88.196906,16.651963,"2001-04-01 5:20:00","2002-03-15 3:30:00",348,0.953,10,2,37.4995010179234,50102,31314,"Tropical",4.7776188e-07,4.7776188e-07,4.7776188e-07,4.7776188e-07
"11","9.3","Belize, Stann Creek, Cat Cay",-88.196906,16.651963,"2001-03-18 20:10:00","2005-08-02 23:40:00",1598,4.378,10,5,46.5498361823981,230134,123007,"Tropical",3.909742304e-07,3.16789334549081e-07,4.4760923e-07,5.503880592e-07
"12","9.4","Belize, Stann Creek, Cat Cay",-88.196906,16.651963,"2001-03-18 20:10:00","2005-08-02 23:40:00",1598,4.378,10,10,49.8300989858083,230134,115458,"Tropical",3.50223413e-07,2.88145431489008e-07,3.29902654e-07,5.185386688e-07
"13","10.1","Belize, Stann Creek, Channel Cay",-88.13632,16.662761,"2001-03-18 20:10:00","2005-08-02 23:40:00",1598,4.378,10,5,60.6998531290466,230134,90443,"Tropical",4.209794215e-07,4.16457331998848e-07,4.089898225e-07,4.914807295e-07
"14","10.2","Belize, Stann Creek, Channel Cay",-88.13632,16.662761,"2001-03-18 20:10:00","2005-01-01 9:40:00",1385,3.793,10,10,64.8898073007052,199378,70002,"Tropical",4.00012703e-07,3.98159711263394e-07,4.14675735e-07,4.326909678e-07
"15","11","Belize, Stann Creek, Manatee Cay",-88.192316,16.666483,"2000-08-13 4:50:00","2002-07-05 1:50:00",691,1.893,10,5,55.7201877745499,99481,44050,"Tropical",5.374040075e-07,5.03751162114489e-07,5.374040075e-07,6.871511735e-07
"16","12.1","Belize, Stann Creek, Manatee Cay",-88.187625,16.665048,"2001-03-18 19:00:00","2003-03-29 0:50:00",740,2.028,10,5,46.0195504521746,106596,57541,"Tropical",3.49537474e-07,2.7827508802009e-07,3.63161927e-07,5.396839278e-07
"17","12.2","Belize, Stann Creek, Manatee Cay",-88.187625,16.665048,"2000-08-05 19:10:00","2001-03-18 16:40:00",225,0.616,10,10,0,32386,32386,"Tropical",7.60972212e-07,7.60972212e-07,7.60972212e-07,7.60972212e-07
"18","13","Belize, Toledo, Sapodilla Cayes",-88.57228,16.19172,"2002-06-14 14:30:00","2007-11-12 19:30:00",1150,4.183,15,5,12.4183244674391,164676,144226,"Tropical",3.99640708166667e-07,3.52475971502178e-07,4.53595053e-07,5.67377855e-07
"19","14","Belize, Toledo, Snake Cayes",-88.26666,16.108138,"2002-07-12 12:30:00","2007-07-31 18:00:00",1122,4.034,15,5,0.628824748229172,124518,123735,"Tropical",4.13589029e-07,3.88524715856791e-07,4.52914564e-07,5.349815648e-07
"20","27","Israel, Hadera Station",34.86307,32.47053,"2011-03-22 8:01:00","2020-06-10 4:51:00",3368,9.227,10,12,38.2000370744166,485510,300045,"Subtropical",6.170087848e-07,4.53652704644987e-07,7.90765426e-07,8.565558613e-07
"21","28","Israel, Ashkelon Station",34.49917,31.63472,"2012-07-27 4:50:00","2020-06-10 4:51:00",2875,7.877,10,11,53.1398994266061,414026,194013,"Subtropical",7.41861997285714e-07,6.81763510067533e-07,8.36710143e-07,8.907317626e-07
"22","29","South Africa, Tsitsikamma ",23.8997,-34.0228,"1991-06-29 14:00:00","2015-11-17 11:00:00",2941,23.672,60,10,0.040506719775477,207373,207289,"Subtropical",3.8595680712e-07,3.63100133148548e-07,4.12039929e-07,4.589133298e-07
