"","plot_id","loc_name","long_in_degrees","lat_in_degrees","start_date","end_date","duration_in_days","duration_in_years","measurement_freq_in_mins","depth_in_m","temp_degC_percentage_missing_values","no_of_data","net_no_of_data","climate_classification","annual_a_mean","annual_gm_mean","annual_median","annual_ninetieth_perc"
"1","1.1","Belize, Stann Creek, Carrie Bow Cay",-88.082072,16.80127,"2001-03-20 19:10:00","2005-02-09 9:30:00",1422,3.895,10,0,13.2401287668958,204711,177607,"Tropical",7.79146931e-07,7.74992181153004e-07,7.26937354e-07,8.616484356e-07
"2","1.2","Belize, Stann Creek, Carrie Bow Cay",-88.082072,16.80127,"2000-03-03 16:10:00","2019-10-13 7:15:00",5028,16.598,10,2,46.518135974239,822950,440129,"Tropical",6.57647545333333e-07,6.56285411359063e-07,6.665494285e-07,6.96064887e-07
"3","2.1","Belize, Stann Creek, Carrie Bow Cay",-88.079817,16.8009,"2000-03-04 21:30:00","2012-09-24 23:00:00",4587,12.567,10,2,53.1400161686383,660538,309528,"Tropical",5.575773775e-07,5.57552671766206e-07,5.575773775e-07,5.617764331e-07
"4","2.2","Belize, Stann Creek, Carrie Bow Cay",-88.079817,16.8009,"2001-03-17 22:30:00","2018-09-28 21:15:00",4100,14.041,10,5,34.3088975287385,688798,452479,"Tropical",4.393324376e-07,4.37214726795065e-07,4.55665195e-07,4.836383404e-07
"5","3","Belize, Stann Creek, Carrie Bow Cay",-88.07863,16.79972,"2000-03-03 16:10:00","2018-09-25 5:15:00",5326,15.939,10,10,38.3694008723026,814167,501776,"Tropical",5.008639495e-07,4.98976301090442e-07,5.008639495e-07,5.356188339e-07
"6","6.2","Belize, Stann Creek, Curlew Caye",-88.07653,16.77592,"2017-10-03 15:00:00","2019-10-11 20:30:00",738,2.023,15,10,0,70871,70871,"Tropical",4.03739031e-07,4.00765869721093e-07,4.03739031e-07,4.428648614e-07
"7","8.1","Belize, Stann Creek, Cat Cay",-88.199404,16.652092,"2000-03-07 18:10:00","2001-03-18 18:00:00",376,1.03,10,0,0.0591016548463357,54144,54112,"Tropical",6.7286783e-07,6.7286783e-07,6.7286783e-07,6.7286783e-07
"8","8.2","Belize, Stann Creek, Cat Cay",-88.199404,16.652092,"2001-03-18 20:20:00","2002-03-15 3:30:00",361,0.99,10,2,37.4990389790113,52028,32518,"Tropical",NA,NA,NA,NA
"9","9.1","Belize, Stann Creek, Cat Cay",-88.196906,16.651963,"2000-08-05 19:10:00","2001-03-18 17:50:00",225,0.616,10,0,0,32393,32393,"Tropical",NA,NA,NA,NA
"10","9.2","Belize, Stann Creek, Cat Cay",-88.196906,16.651963,"2001-04-01 5:20:00","2002-03-15 3:30:00",348,0.953,10,2,37.4995010179234,50102,31314,"Tropical",NA,NA,NA,NA
