"","plot_id","loc_name","long_in_degrees","lat_in_degrees","start_date","end_date","duration_in_days","duration_in_years","measurement_freq_in_mins","depth_in_m","temp_degC_percentage_missing_values","no_of_data","net_no_of_data","climate_classification","time_id","q_diurnal_a_mean","q_diurnal_gm_mean","q_diurnal_median","q_diurnal_ninetieth_perc","s_diurnal_a_mean","s_diurnal_gm_mean","s_diurnal_median","s_diurnal_ninetieth_perc","daily_a_mean","daily_gm_mean","daily_median","daily_ninetieth_perc","weekly_a_mean","weekly_gm_mean","weekly_median","weekly_ninetieth_perc","biweekly_a_mean","biweekly_gm_mean","biweekly_median","biweekly_ninetieth_perc","monthly_a_mean","monthly_gm_mean","monthly_median","monthly_ninetieth_perc"
"1","1.1","Belize, Stann Creek, Carrie Bow Cay",-88.082072,16.80127,"2001-03-20 19:10:00","2005-02-09 9:30:00",1422,3.895,10,0,13.2401287668958,204711,177607,"Tropical","1.1 - year_1",6.15223629711142e-08,4.65961959006249e-08,4.6235116e-08,1.37397282e-07,1.16593855931224e-07,1.01530006407196e-07,1.01188687e-07,2.033594888e-07,1.41664148889503e-07,1.25149053282826e-07,1.241948675e-07,2.540114253e-07,2.50521607653846e-07,2.38881243971849e-07,2.374896985e-07,3.521352617e-07,3.06770047807692e-07,2.96262538697073e-07,2.97758597e-07,4.15596565e-07,3.72127793916667e-07,3.67032915255574e-07,3.745222975e-07,4.372133992e-07
"2","1.1","Belize, Stann Creek, Carrie Bow Cay",-88.082072,16.80127,"2001-03-20 19:10:00","2005-02-09 9:30:00",1422,3.895,10,0,13.2401287668958,204711,177607,"Tropical","1.1 - year_2",7.62582062369863e-08,4.71442261212321e-08,5.37147305e-08,1.768681546e-07,1.46550885043836e-07,1.2558565238415e-07,1.30194072e-07,2.527718918e-07,1.69245371668493e-07,1.47728474770668e-07,1.51693293e-07,2.887843542e-07,2.95191400096154e-07,2.78371236784044e-07,2.77476065e-07,4.172003484e-07,3.58441058653846e-07,3.44447267378206e-07,3.395189725e-07,5.032428895e-07,4.32286757e-07,4.21436510505684e-07,4.073103295e-07,5.633599078e-07
"3","1.1","Belize, Stann Creek, Carrie Bow Cay",-88.082072,16.80127,"2001-03-20 19:10:00","2005-02-09 9:30:00",1422,3.895,10,0,13.2401287668958,204711,177607,"Tropical","1.1 - year_3",1.00144305513623e-07,7.03003504650972e-08,9.0268381e-08,1.9858048e-07,1.6151375949697e-07,1.47179194913273e-07,1.52324729e-07,2.58515803e-07,1.83341401471774e-07,1.69171663035207e-07,1.71425954e-07,2.83994776e-07,3.0467166775e-07,2.94436311552755e-07,2.87626324e-07,3.981817594e-07,3.698221863e-07,3.63862232727455e-07,3.81855518e-07,4.400965039e-07,4.075047816e-07,4.04913697736816e-07,4.28315003e-07,4.529093398e-07
"4","1.1","Belize, Stann Creek, Carrie Bow Cay",-88.082072,16.80127,"2001-03-20 19:10:00","2005-02-09 9:30:00",1422,3.895,10,0,13.2401287668958,204711,177607,"Tropical","1.1 - year_4",1.27081392877676e-07,1.0835361668459e-07,1.10668878e-07,2.305023503e-07,1.63188705495413e-07,1.42697796999096e-07,1.52357289e-07,2.882293636e-07,1.90252266243902e-07,1.69032460862979e-07,1.77074005e-07,3.256767394e-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","1.2","Belize, Stann Creek, Carrie Bow Cay",-88.082072,16.80127,"2000-03-03 16:10:00","2013-12-09 0:00:00",5028,13.776,10,2,52.8699867417965,724080,341259,"Tropical","1.2 - (a) - year_1",4.1491612654321e-08,3.84945253235225e-08,3.4145794e-08,7.314658e-08,5.81822808956044e-08,5.14512457587575e-08,5.6015362e-08,1.01710804e-07,9.55529044242424e-08,9.0321017873596e-08,9.5140165e-08,1.33048069e-07,1.63258459365385e-07,1.58577086012236e-07,1.6265703e-07,2.137889573e-07,1.994036265e-07,1.94217470533105e-07,1.76904961e-07,2.616404375e-07,2.30708649833333e-07,2.25032536932124e-07,2.26315156e-07,2.901788886e-07
"6","1.2","Belize, Stann Creek, Carrie Bow Cay",-88.082072,16.80127,"2000-03-03 16:10:00","2013-12-09 0:00:00",5028,13.776,10,2,52.8699867417965,724080,341259,"Tropical","1.2 - (a) - year_11",8.12397636115942e-08,7.55981796675711e-08,7.6051558e-08,1.202140629e-07,9.86614086811594e-08,9.39369484712581e-08,9.7893927e-08,1.381505676e-07,1.19605704447674e-07,1.15922313566463e-07,1.145436455e-07,1.651056788e-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","1.2","Belize, Stann Creek, Carrie Bow Cay",-88.082072,16.80127,"2000-03-03 16:10:00","2013-12-09 0:00:00",5028,13.776,10,2,52.8699867417965,724080,341259,"Tropical","1.2 - (a) - year_12",7.74995048898305e-08,7.39179937223634e-08,7.7468236e-08,1.042006044e-07,9.30548968135593e-08,9.08976761049757e-08,9.2838508e-08,1.16076307e-07,1.048571138e-07,1.03439946373678e-07,1.03010827e-07,1.335851795e-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","1.2","Belize, Stann Creek, Carrie Bow Cay",-88.082072,16.80127,"2000-03-03 16:10:00","2013-12-09 0:00:00",5028,13.776,10,2,52.8699867417965,724080,341259,"Tropical","1.2 - (a) - year_13",6.70456655015873e-08,6.03535344610404e-08,6.2543241e-08,1.095366906e-07,1.04896989910828e-07,9.99780012416211e-08,1.00445504e-07,1.5254705e-07,1.28278979076923e-07,1.24331278110852e-07,1.30292824e-07,1.65630739e-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","1.2","Belize, Stann Creek, Carrie Bow Cay",-88.082072,16.80127,"2000-03-03 16:10:00","2013-12-09 0:00:00",5028,13.776,10,2,52.8699867417965,724080,341259,"Tropical","1.2 - (a) - year_14",6.46147665704225e-08,5.77929374912259e-08,5.9924111e-08,1.05445146e-07,1.03800009556338e-07,9.89456660694847e-08,1.023299995e-07,1.391682502e-07,1.28065336041958e-07,1.23987019784554e-07,1.25817983e-07,1.66940675e-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","1.2","Belize, Stann Creek, Carrie Bow Cay",-88.082072,16.80127,"2000-03-03 16:10:00","2013-12-09 0:00:00",5028,13.776,10,2,52.8699867417965,724080,341259,"Tropical","1.2 - (a) - year_2",7.9083258368421e-08,7.18273417452397e-08,7.4443922e-08,1.22220264e-07,9.56285498578947e-08,8.9880378253127e-08,9.4581879e-08,1.361346363e-07,1.20442158868421e-07,1.16011650398819e-07,1.16948695e-07,1.660904762e-07,2.33694549e-07,2.29981351236364e-07,2.40955685e-07,2.71815685e-07,2.60243185e-07,2.59527469996327e-07,2.60243185e-07,2.75673185e-07,2.79530685e-07,2.79530685e-07,2.79530685e-07,2.79530685e-07
