"","plot_id","loc_name","long_in_degrees","lat_in_degrees","start_date","end_date","duration_in_days","duration_in_years","measurement_freq_in_mins","depth_in_m","temp_degC_percentage_missing_values","no_of_data","climate_classification","daily_a_mean","daily_gm_mean","daily_median","daily_ninetieth_perc","weekly_a_mean","weekly_gm_mean","weekly_median","weekly_ninetieth_perc","biweekly_a_mean","biweekly_gm_mean","biweekly_median","biweekly_ninetieth_perc","monthly_a_mean","monthly_gm_mean","monthly_median","monthly_ninetieth_perc","annual_a_mean","annual_gm_mean","annual_median","annual_ninetieth_perc","net_no_of_data"
"1","1.1","Belize, Stann Creek, Carrie Bow Cay",-88.082072,16.80127,"2001-03-20 19:10:00","2005-02-09 09:30:00",1422,3.9,10,0,13.24,204711,"Tropical",0.000225508340649693,0.000200725390344369,0.0002098,0.00037674,0.000374879032258064,0.000357002542962447,0.0003582,0.00052887,0.000455408064516129,0.000440651859719167,0.0004352,0.00060047,0.000541479310344828,0.000532590159173447,0.000527,0.00066998,0.0010518,0.00104706225018773,0.0009883,0.00115414,177607
"2","1.2","Belize, Stann Creek, Carrie Bow Cay",-88.082072,16.80127,"2000-03-03 16:10:00","2013-12-09 00:00:00",5028,13.8,10,2,52.87,724080,"Tropical",0.000144435570687419,0.000133423120786456,0.0001387,0.00021277,0.000237224125874126,0.000223082879376194,0.0002268,0.0003316,0.000291667586206897,0.0002768553049972,0.0002743,0.00040208,0.000365713043478261,0.00034876751699734,0.0003403,0.00048368,0.000915416666666667,0.000913098969134077,0.00092465,0.00097795,341259
"3","2.1","Belize, Stann Creek, Carrie Bow Cay",-88.079817,16.8009,"2000-03-04 21:30:00","2012-09-24 23:00:00",4587,12.6,10,2,53.14,660538,"Tropical",9.7572974472808e-05,8.43623818831935e-05,8.575e-05,0.0001646,0.000177238636363636,0.000162148544437028,0.0001592,0.00026071,0.000232615909090909,0.000214904200568679,0.00020565,0.0003258,0.000303028571428571,0.000287532067964923,0.0002643,0.0003907,0.0007753,0.000775232900488621,0.0007753,0.00078346,309528
"4","2.2","Belize, Stann Creek, Carrie Bow Cay",-88.079817,16.8009,"2001-03-17 22:30:00","2012-06-07 23:00:00",4100,11.2,10,5,38.8,590404,"Tropical",6.53650411652945e-05,5.79047005438654e-05,5.87e-05,0.0001064,0.000117469026548673,0.000109428406222635,0.0001024,0.00017155,0.00015537652173913,0.000146851940089075,0.0001397,0.0002263,0.000211027777777778,0.000199597678785804,0.000203,0.00029149,0.00060692,0.000603778972962747,0.0006332,0.00066956,361327
"5","3","Belize, Stann Creek, Carrie Bow Cay",-88.07863,16.79972,"2000-03-03 16:10:00","2014-10-02 22:10:00",5326,14.6,10,10,40.73,766981,"Tropical",6.20919962917182e-05,5.07161181681921e-05,5.13e-05,0.0001114,9.678984375e-05,8.58462783243237e-05,8.27e-05,0.0001539,0.000126609375,0.000113595523734981,0.0001131,0.00021608,0.000182441379310345,0.000166693862569489,0.0001594,0.00028786,0.0007058,0.000702782043026143,0.0007058,0.00075796,454590
"6","6.1","Belize, Stann Creek, Curlew Caye",-88.07653,16.77592,"2017-10-03 15:00:00","2017-12-07 21:00:00",65,0.2,15,5,0,6265,"Tropical",6.675e-05,6.28537340356029e-05,6.79e-05,9.462e-05,0.000145,0.000142172460441146,0.000137,0.00018036,0.0001781,0.000175873351334552,0.00016715,0.00021127,0.00032365,0.000313948244142247,0.00032365,0.00038657,NA,NA,NA,NA,6265
"7","6.2","Belize, Stann Creek, Curlew Caye",-88.07653,16.77592,"2017-10-03 15:00:00","2019-10-11 20:30:00",738,2,15,10,0,70871,"Tropical",4.09455902306649e-05,3.64208134162148e-05,3.69e-05,6.52e-05,9.03790476190476e-05,8.40052032844958e-05,8.53e-05,0.00014058,0.000119128846153846,0.000112231020935115,0.00011525,0.00017431,0.000169545833333333,0.000160827308414957,0.00016465,0.00022845,0.00055395,0.000549005264091338,0.00055395,0.00061303,70871
"8","8.1","Belize, Stann Creek, Cat Cay",-88.199404,16.652092,"2000-03-07 18:10:00","2001-03-18 18:00:00",376,1,10,0,0.06,54144,"Tropical",0.000144394652406417,0.000126601981624063,0.0001393,0.0002447,0.000257933333333333,0.000245670385223411,0.0002436,0.00037691,0.000320625925925926,0.000309030291829453,0.000332,0.00041982,0.000402433333333333,0.000393899231679233,0.0004237,0.00046758,0.0009074,0.0009074,0.0009074,0.0009074,54112
"9","8.2","Belize, Stann Creek, Cat Cay",-88.199404,16.652092,"2001-03-18 20:20:00","2002-03-15 03:30:00",361,1,10,2,37.5,52028,"Tropical",9.36e-05,8.44003010721421e-05,8.9e-05,0.0001497,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32518
"10","9.1","Belize, Stann Creek, Cat Cay",-88.196906,16.651963,"2000-08-05 19:10:00","2001-03-18 17:50:00",225,0.6,10,0,0,32393,"Tropical",9.09866071428571e-05,8.03199105595092e-05,8.46e-05,0.00015628,0.000188753125,0.000178010414890085,0.0001859,0.0002633,0.0002389125,0.000232488271658796,0.0002333,0.00030225,0.000302628571428571,0.000295808272019806,0.0002801,0.00038882,NA,NA,NA,NA,32393
"11","9.2","Belize, Stann Creek, Cat Cay",-88.196906,16.651963,"2001-04-01 05:20:00","2002-03-15 03:30:00",348,1,10,2,37.5,50102,"Tropical",5.91793103448276e-05,5.77824208678116e-05,4.81e-05,9.73e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31314
"12","9.3","Belize, Stann Creek, Cat Cay",-88.196906,16.651963,"2001-03-18 20:10:00","2005-08-02 23:40:00",1598,4.4,10,5,46.55,230134,"Tropical",5.16095238095238e-05,4.68617633953799e-05,5e-05,8e-05,0.000121882608695652,9.34197776334982e-05,8.16e-05,0.0002345,0.00019565,0.000153534717398955,0.00013035,0.00044626,0.000277128571428571,0.00024546129459695,0.0002239,0.00043642,0.0008031,0.0008031,0.0008031,0.0008031,123007
"13","9.4","Belize, Stann Creek, Cat Cay",-88.196906,16.651963,"2001-03-18 20:10:00","2005-08-02 23:40:00",1598,4.4,10,10,49.83,230134,"Tropical",3.89888888888889e-05,3.7034042861424e-05,3.97e-05,6.21e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,115458
"14","10.1","Belize, Stann Creek, Channel Cay",-88.13632,16.662761,"2001-03-18 20:10:00","2005-08-02 23:40:00",1598,4.4,10,5,60.7,230134,"Tropical",6.30694117647059e-05,6.00111148715336e-05,6.035e-05,8.742e-05,0.000275666666666667,0.000187427720188861,0.0001384,0.00051624,0.00037455,0.000290724749548435,0.00037455,0.00056347,0.0006107,0.0006107,0.0006107,0.0006107,NA,NA,NA,NA,90443
