plot_id,loc_name,long_in_degrees,lat_in_degrees,start_date,end_date,climate_classification,depth_in_m,temp_degC_percentage_missing_values,no_of_data,net_no_of_data,daily_a_mean,daily_gm_mean,daily_median,daily_ninetieth_perc,weekly_a_mean,weekly_gm_mean,weekly_median,weekly_ninetieth_perc,biweekly_a_mean,biweekly_gm_mean,biweekly_median,biweekly_ninetieth_perc,monthly_a_mean,monthly_gm_mean,monthly_median,monthly_ninetieth_perc,annual_a_mean,annual_gm_mean,annual_median,annual_ninetieth_perc,contributor,database,study,spatial_blocks,duration_in_years
1.1,"Belize, Stann Creek, Carrie Bow Cay",-88.082072,16.80127,3/20/2001 19:10,2/9/2005 9:30,Tropical,0,13.24012877,204711,177607,1.56E-07,1.36E-07,1.39E-07,2.72E-07,2.74E-07,2.60E-07,2.67E-07,3.92E-07,3.33E-07,3.21E-07,3.15E-07,4.45E-07,3.33E-07,3.21E-07,3.15E-07,4.45E-07,3.33E-07,3.21E-07,3.15E-07,4.45E-07,Helmuth Brian,Same as PI,Helmuth Brian,spatial_block_1,3.89478691
1.2,"Belize, Stann Creek, Carrie Bow Cay",-88.082072,16.80127,3/3/2000 16:10,10/13/2019 7:15,Tropical,2,46.51813597,822950,440129,9.93E-08,9.25E-08,9.59E-08,1.45E-07,1.70E-07,1.63E-07,1.65E-07,2.28E-07,2.06E-07,1.99E-07,1.99E-07,2.78E-07,2.06E-07,1.99E-07,1.99E-07,2.78E-07,2.06E-07,1.99E-07,1.99E-07,2.78E-07,Helmuth Brian,Same as PI,Helmuth Brian,spatial_block_1,19.62363965
2.1,"Belize, Stann Creek, Carrie Bow Cay",-88.079817,16.8009,3/4/2000 21:30,9/24/2012 23:00,Tropical,2,53.14001617,660538,309528,6.10E-08,5.15E-08,5.43E-08,1.07E-07,1.20E-07,1.07E-07,1.12E-07,1.95E-07,1.55E-07,1.42E-07,1.41E-07,2.39E-07,1.55E-07,1.42E-07,1.41E-07,2.39E-07,1.55E-07,1.42E-07,1.41E-07,2.39E-07,Helmuth Brian,Same as PI,Helmuth Brian,spatial_block_1,12.56729452
2.2,"Belize, Stann Creek, Carrie Bow Cay",-88.079817,16.8009,3/17/2001 22:30,9/28/2018 21:15,Tropical,5,34.30889753,688798,452479,4.47E-08,4.00E-08,4.06E-08,7.12E-08,9.10E-08,8.45E-08,8.30E-08,1.39E-07,1.18E-07,1.11E-07,1.12E-07,1.71E-07,1.18E-07,1.11E-07,1.12E-07,1.71E-07,1.18E-07,1.11E-07,1.12E-07,1.71E-07,Helmuth Brian,Same as PI,Helmuth Brian,spatial_block_1,17.54506279
3,"Belize, Stann Creek, Carrie Bow Cay",-88.07863,16.79972,3/3/2000 16:10,10/24/2018 17:22,Tropical,10,36.46641468,856654,544263,4.10E-08,3.40E-08,3.36E-08,7.30E-08,8.55E-08,7.49E-08,7.09E-08,1.47E-07,1.14E-07,1.01E-07,9.56E-08,1.82E-07,1.14E-07,1.01E-07,9.56E-08,1.82E-07,1.14E-07,1.01E-07,9.56E-08,1.82E-07,Helmuth Brian,Same as PI,Helmuth Brian,spatial_block_1,18.65493151
6.1,"Belize, Stann Creek, Curlew Caye",-88.07653,16.77592,10/3/2017 15:00,12/7/2017 21:00,Tropical,5,0,6265,6265,4.82E-08,4.51E-08,5.02E-08,6.77E-08,9.99E-08,9.43E-08,9.89E-08,1.35E-07,1.28E-07,1.26E-07,1.15E-07,1.56E-07,1.28E-07,1.26E-07,1.15E-07,1.56E-07,1.28E-07,1.26E-07,1.15E-07,1.56E-07,Helmuth Brian,Same as PI,Helmuth Brian,spatial_block_1,0.178767123
6.2,"Belize, Stann Creek, Curlew Caye",-88.07653,16.77592,10/3/2017 15:00,10/11/2019 20:30,Tropical,10,0,70871,70871,3.00E-08,2.67E-08,2.73E-08,4.75E-08,6.60E-08,6.11E-08,6.15E-08,1.03E-07,8.71E-08,8.21E-08,8.34E-08,1.26E-07,8.71E-08,8.21E-08,8.34E-08,1.26E-07,8.71E-08,8.21E-08,8.34E-08,1.26E-07,Helmuth Brian,Same as PI,Helmuth Brian,spatial_block_1,2.022545662
8.1,"Belize, Stann Creek, Cat Cay",-88.199404,16.652092,3/7/2000 18:10,3/18/2001 18:00,Tropical,0,0.059101655,54144,54112,1.06E-07,9.17E-08,1.01E-07,1.84E-07,1.90E-07,1.80E-07,1.83E-07,2.88E-07,2.36E-07,2.26E-07,2.38E-07,3.13E-07,2.36E-07,2.26E-07,2.38E-07,3.13E-07,2.36E-07,2.26E-07,2.38E-07,3.13E-07,Helmuth Brian,Same as PI,Helmuth Brian,spatial_block_1,1.03011796
8.2,"Belize, Stann Creek, Cat Cay",-88.199404,16.652092,3/18/2001 20:20,3/15/2002 3:30,Tropical,2,37.49903898,52028,32518,5.38E-08,4.94E-08,4.88E-08,8.71E-08,1.11E-07,1.03E-07,1.03E-07,1.59E-07,1.43E-07,1.35E-07,1.41E-07,2.09E-07,1.43E-07,1.35E-07,1.41E-07,2.09E-07,1.43E-07,1.35E-07,1.41E-07,2.09E-07,Helmuth Brian,Same as PI,Helmuth Brian,spatial_block_1,0.989859209
9.1,"Belize, Stann Creek, Cat Cay",-88.196906,16.651963,8/5/2000 19:10,3/18/2001 17:50,Tropical,0,0,32393,32393,6.55E-08,5.74E-08,6.10E-08,1.17E-07,1.35E-07,1.27E-07,1.33E-07,2.02E-07,1.68E-07,1.61E-07,1.70E-07,2.22E-07,1.68E-07,1.61E-07,1.70E-07,2.22E-07,1.68E-07,1.61E-07,1.70E-07,2.22E-07,Helmuth Brian,Same as PI,Helmuth Brian,spatial_block_1,0.616286149
9.2,"Belize, Stann Creek, Cat Cay",-88.196906,16.651963,4/1/2001 5:20,3/15/2002 3:30,Tropical,2,37.49950102,50102,31314,3.22E-08,3.65E-08,3.33E-08,5.64E-08,7.48E-08,6.55E-08,6.93E-08,1.46E-07,1.02E-07,9.27E-08,8.23E-08,1.68E-07,1.02E-07,9.27E-08,8.23E-08,1.68E-07,1.02E-07,9.27E-08,8.23E-08,1.68E-07,Helmuth Brian,Same as PI,Helmuth Brian,spatial_block_1,0.953215373
9.3,"Belize, Stann Creek, Cat Cay",-88.196906,16.651963,3/18/2001 20:10,8/2/2005 23:40,Tropical,5,46.54983618,230134,123007,3.28E-08,2.99E-08,3.06E-08,5.07E-08,7.16E-08,6.63E-08,6.45E-08,1.15E-07,9.67E-08,8.90E-08,9.30E-08,1.40E-07,9.67E-08,8.90E-08,9.30E-08,1.40E-07,9.67E-08,8.90E-08,9.30E-08,1.40E-07,Helmuth Brian,Same as PI,Helmuth Brian,spatial_block_1,4.378481735
9.4,"Belize, Stann Creek, Cat Cay",-88.196906,16.651963,3/18/2001 20:10,8/2/2005 23:40,Tropical,10,49.83009899,230134,115458,2.41E-08,2.42E-08,2.57E-08,3.72E-08,5.77E-08,5.29E-08,5.36E-08,8.80E-08,8.27E-08,7.43E-08,8.26E-08,1.23E-07,8.27E-08,7.43E-08,8.26E-08,1.23E-07,8.27E-08,7.43E-08,8.26E-08,1.23E-07,Helmuth Brian,Same as PI,Helmuth Brian,spatial_block_1,4.378481735
10.1,"Belize, Stann Creek, Channel Cay",-88.13632,16.662761,3/18/2001 20:10,8/2/2005 23:40,Tropical,5,60.69985313,230134,90443,3.73E-08,3.45E-08,3.59E-08,5.72E-08,7.89E-08,7.51E-08,7.36E-08,1.13E-07,1.05E-07,9.98E-08,1.03E-07,1.45E-07,1.05E-07,9.98E-08,1.03E-07,1.45E-07,1.05E-07,9.98E-08,1.03E-07,1.45E-07,Helmuth Brian,Same as PI,Helmuth Brian,spatial_block_1,4.378481735
10.2,"Belize, Stann Creek, Channel Cay",-88.13632,16.662761,3/18/2001 20:10,1/1/2005 9:40,Tropical,10,64.8898073,199378,70002,3.25E-08,2.94E-08,3.00E-08,5.12E-08,7.01E-08,6.64E-08,6.76E-08,1.02E-07,9.57E-08,9.02E-08,9.25E-08,1.32E-07,9.57E-08,9.02E-08,9.25E-08,1.32E-07,9.57E-08,9.02E-08,9.25E-08,1.32E-07,Helmuth Brian,Same as PI,Helmuth Brian,spatial_block_1,3.793321918
11,"Belize, Stann Creek, Manatee Cay",-88.192316,16.666483,8/13/2000 4:50,7/5/2002 1:50,Tropical,5,55.72018777,99481,44050,8.39E-08,6.86E-08,6.81E-08,1.57E-07,1.51E-07,1.24E-07,1.54E-07,2.66E-07,1.83E-07,1.54E-07,1.72E-07,3.08E-07,1.83E-07,1.54E-07,1.72E-07,3.08E-07,1.83E-07,1.54E-07,1.72E-07,3.08E-07,Helmuth Brian,Same as PI,Helmuth Brian,spatial_block_1,1.892808219
12.1,"Belize, Stann Creek, Manatee Cay",-88.187625,16.665048,3/18/2001 19:00,3/29/2003 0:50,Tropical,5,46.01955045,106596,57541,3.51E-08,3.66E-08,3.52E-08,5.61E-08,7.55E-08,6.84E-08,7.24E-08,1.12E-07,1.07E-07,9.73E-08,1.07E-07,1.71E-07,1.07E-07,9.73E-08,1.07E-07,1.71E-07,1.07E-07,9.73E-08,1.07E-07,1.71E-07,Helmuth Brian,Same as PI,Helmuth Brian,spatial_block_1,2.028063166
12.2,"Belize, Stann Creek, Manatee Cay",-88.187625,16.665048,8/5/2000 19:10,3/18/2001 16:40,Tropical,10,0,32386,32386,8.98E-08,8.13E-08,7.76E-08,1.52E-07,1.78E-07,1.66E-07,1.70E-07,2.48E-07,2.23E-07,2.09E-07,2.19E-07,2.88E-07,2.23E-07,2.09E-07,2.19E-07,2.88E-07,2.23E-07,2.09E-07,2.19E-07,2.88E-07,Helmuth Brian,Same as PI,Helmuth Brian,spatial_block_1,0.616152968
13,"Belize, Toledo, Sapodilla Cayes",-88.57228,16.19172,6/14/2002 14:30,11/12/2007 19:30,Tropical,5,12.41832447,164676,144226,5.52E-08,5.02E-08,5.33E-08,8.39E-08,1.08E-07,1.03E-07,1.06E-07,1.50E-07,1.38E-07,1.33E-07,1.40E-07,1.86E-07,1.38E-07,1.33E-07,1.40E-07,1.86E-07,1.38E-07,1.33E-07,1.40E-07,1.86E-07,Helmuth Brian,Same as PI,Helmuth Brian,spatial_block_1,5.417009132
14,"Belize, Toledo, Snake Cayes",-88.26666,16.108138,7/12/2002 12:30,12/10/2007 17:45,Tropical,5,0.570745468,137189,136406,4.23E-08,3.86E-08,3.89E-08,6.71E-08,8.73E-08,8.34E-08,8.45E-08,1.24E-07,1.14E-07,1.09E-07,1.11E-07,1.62E-07,1.14E-07,1.09E-07,1.11E-07,1.62E-07,1.14E-07,1.09E-07,1.11E-07,1.62E-07,Helmuth Brian,Same as PI,Helmuth Brian,spatial_block_1,5.417037671
25.1,China,117.4844444,23.65277778,7/1/2018 10:30,9/25/2018 9:30,Subtropical,4,14.73225103,4127,3519,4.36E-08,3.53E-08,3.97E-08,7.56E-08,1.11E-07,9.59E-08,9.53E-08,2.07E-07,1.46E-07,1.39E-07,1.28E-07,2.06E-07,1.46E-07,1.39E-07,1.28E-07,2.06E-07,1.46E-07,1.39E-07,1.28E-07,2.06E-07,Dong Yunwei,Same as PI,Dong Yunwei,spatial_block_3,0.235502283
25.2,China,117.4844444,23.65277778,7/1/2018 10:30,9/25/2018 9:30,Subtropical,7,5.573055488,4127,3897,4.46E-08,3.82E-08,4.08E-08,7.82E-08,1.14E-07,1.06E-07,1.00E-07,1.96E-07,1.43E-07,1.33E-07,1.35E-07,2.02E-07,1.43E-07,1.33E-07,1.35E-07,2.02E-07,1.43E-07,1.33E-07,1.35E-07,2.02E-07,Dong Yunwei,Same as PI,Dong Yunwei,spatial_block_3,0.235502283
25.3,China,117.4844444,23.65277778,7/1/2018 10:30,9/25/2018 9:30,Subtropical,11.5,14.73225103,4127,3519,4.53E-08,3.70E-08,4.22E-08,8.03E-08,1.13E-07,9.91E-08,1.00E-07,2.06E-07,1.49E-07,1.43E-07,1.35E-07,2.05E-07,1.49E-07,1.43E-07,1.35E-07,2.05E-07,1.49E-07,1.43E-07,1.35E-07,2.05E-07,Dong Yunwei,Same as PI,Dong Yunwei,spatial_block_3,0.235502283
26.1,China,117.5094444,23.6375,6/26/2019 11:20,5/30/2020 12:31,Subtropical,0,33.55724158,20693,13749,1.23E-07,5.52E-08,5.52E-08,4.30E-07,2.44E-07,1.51E-07,1.41E-07,6.40E-07,3.25E-07,2.21E-07,1.95E-07,8.00E-07,3.25E-07,2.21E-07,1.95E-07,8.00E-07,3.25E-07,2.21E-07,1.95E-07,8.00E-07,Dong Yunwei,Same as PI,Dong Yunwei,spatial_block_3,0.928902207
27,"Israel, Hadera Station",34.86307,32.47053,3/22/2011 8:01,6/10/2020 4:51,Subtropical,12,38.20003707,485510,300045,4.27E-08,2.81E-08,2.73E-08,1.00E-07,9.59E-08,7.26E-08,7.58E-08,1.87E-07,1.31E-07,1.04E-07,1.16E-07,2.43E-07,1.31E-07,1.04E-07,1.16E-07,2.43E-07,1.31E-07,1.04E-07,1.16E-07,2.43E-07,Guy-Haim Tamar,ISRAMAR,Guy-Haim Tamar,spatial_block_5,9.227035769
28,"Israel, Ashkelon Station",34.49917,31.63472,7/27/2012 4:50,6/10/2020 4:51,Subtropical,11,53.13989943,414026,194013,3.75E-08,2.70E-08,2.64E-08,7.94E-08,8.92E-08,7.22E-08,6.97E-08,1.71E-07,1.28E-07,1.07E-07,1.11E-07,2.13E-07,1.28E-07,1.07E-07,1.11E-07,2.13E-07,1.28E-07,1.07E-07,1.11E-07,2.13E-07,Guy-Haim Tamar,ISRAMAR,Guy-Haim Tamar,spatial_block_5,7.876714231
29,"South Africa, Tsitsikamma ",23.8997,-34.0228,6/29/1991 14:00,11/17/2015 11:00,Subtropical,10,0.04050672,207373,207289,3.71E-08,2.28E-08,2.19E-08,8.93E-08,1.10E-07,7.91E-08,8.47E-08,2.41E-07,1.49E-07,1.15E-07,1.23E-07,3.07E-07,1.49E-07,1.15E-07,1.23E-07,3.07E-07,1.49E-07,1.15E-07,1.23E-07,3.07E-07,Duncan Murray,Same as PI,Duncan Murray,spatial_block_7,24.40239726
30.1,"South Africa, Tsitsikamma ",23.8752,-34.0453,7/31/1997 8:00,12/31/2004 21:00,Subtropical,12,0.354162283,57036,56834,4.21E-08,2.44E-08,2.42E-08,1.05E-07,1.14E-07,8.06E-08,8.69E-08,2.52E-07,1.54E-07,1.18E-07,1.25E-07,3.01E-07,1.54E-07,1.18E-07,1.25E-07,3.01E-07,1.54E-07,1.18E-07,1.25E-07,3.01E-07,Duncan Murray,Same as PI,Duncan Murray,spatial_block_7,7.426141553
