"","X","plot_id","loc_name","long_in_degrees","lat_in_degrees","start_date","end_date","climate_classification","depth_in_m","temp_degC_percentage_missing_values","no_of_data","net_no_of_data","daily_a_mean","daily_gm_mean","daily_median","daily_ninetieth_perc","weekly_a_mean","weekly_gm_mean","weekly_median","weekly_ninetieth_perc","biweekly_a_mean","biweekly_gm_mean","biweekly_median","biweekly_ninetieth_perc","monthly_a_mean","monthly_gm_mean","monthly_median","monthly_ninetieth_perc","annual_a_mean","annual_gm_mean","annual_median","annual_ninetieth_perc","contributor","database","study","spatial_blocks","duration_in_years"
"1",1,1.1,"Belize, Stann Creek, Carrie Bow Cay",-88.082072,16.80127,"2001-03-20 19:10:00","2005-02-09 09:30:00","Tropical",0,13.2401287668958,204711,177607,1.66573329048288e-07,1.47166844847529e-07,1.52882278e-07,2.826939336e-07,2.77987981919355e-07,2.63446006058443e-07,2.66996131e-07,4.073686891e-07,3.38608235983871e-07,3.26226060226844e-07,3.218612025e-07,4.5038691e-07,4.03120638586207e-07,3.95274288108598e-07,3.84883742e-07,4.939165784e-07,7.79146931e-07,7.74992181153004e-07,7.26937354e-07,8.616484356e-07,"Helmuth Brian","Same as PI","Helmuth Brian","spatial_block_1",3.89478691019787
"2",2,1.2,"Belize, Stann Creek, Carrie Bow Cay",-88.082072,16.80127,"2000-03-03 16:10:00","2019-10-13 07:15:00","Tropical",2,46.518135974239,822950,440129,1.05274199857328e-07,9.73757711451789e-08,1.01710804e-07,1.557772515e-07,1.72307032227273e-07,1.6248842046634e-07,1.639131295e-07,2.343107275e-07,2.11721467337931e-07,2.01601614921944e-07,2.00917861e-07,2.838816104e-07,2.65241690565217e-07,2.53810217416637e-07,2.50423553e-07,3.490497242e-07,6.57647545333333e-07,6.56285411359063e-07,6.665494285e-07,6.96064887e-07,"Helmuth Brian","Same as PI","Helmuth Brian","spatial_block_1",19.6236396499239
"3",3,2.1,"Belize, Stann Creek, Carrie Bow Cay",-88.079817,16.8009,"2000-03-04 21:30:00","2012-09-24 23:00:00","Tropical",2,53.1400161686383,660538,309528,7.14278625310766e-08,6.15888784683851e-08,6.21961095e-08,1.213142561e-07,1.28381147738636e-07,1.17400469314084e-07,1.16829451e-07,1.956793223e-07,1.6835350775e-07,1.55614481225922e-07,1.522676355e-07,2.348440636e-07,2.19004915e-07,2.07948695536969e-07,1.98435129e-07,2.68992727e-07,5.575773775e-07,5.57552671766206e-07,5.575773775e-07,5.617764331e-07,"Helmuth Brian","Same as PI","Helmuth Brian","spatial_block_1",12.5672945205479
"4",4,2.2,"Belize, Stann Creek, Carrie Bow Cay",-88.079817,16.8009,"2001-03-17 22:30:00","2018-09-28 21:15:00","Tropical",5,34.3088975287385,688798,452479,4.7701974681444e-08,4.22610893286609e-08,4.3133167e-08,7.78675262e-08,8.55239699867257e-08,7.979081681344e-08,7.6061531e-08,1.248799435e-07,1.13037809391304e-07,1.07029981710575e-07,1.03751655e-07,1.596679284e-07,1.53653784166667e-07,1.45495625290674e-07,1.47493447e-07,2.114144653e-07,4.393324376e-07,4.37214726795065e-07,4.55665195e-07,4.836383404e-07,"Helmuth Brian","Same as PI","Helmuth Brian","spatial_block_1",17.5450627853881
"5",5,3,"Belize, Stann Creek, Carrie Bow Cay",-88.07863,16.79972,"2000-03-03 16:10:00","2018-10-24 17:22:00","Tropical",10,36.466414678505,856654,544263,4.50322682543263e-08,3.68720163110316e-08,3.73612405e-08,8.08614195e-08,6.996881475e-08,6.24679677431816e-08,6.1036098e-08,1.083223338e-07,9.1430845296875e-08,8.26092377719354e-08,8.1257862e-08,1.501294095e-07,1.31253098517241e-07,1.21073718964576e-07,1.18524656e-07,2.03222385e-07,5.008639495e-07,4.98976301090442e-07,5.008639495e-07,5.356188339e-07,"Helmuth Brian","Same as PI","Helmuth Brian","spatial_block_1",18.6549315068493
"6",6,6.1,"Belize, Stann Creek, Curlew Caye",-88.07653,16.77592,"2017-10-03 15:00:00","2017-12-07 21:00:00","Tropical",5,0,6265,6265,4.903600553125e-08,4.6148816946065e-08,5.0704506e-08,6.83588548e-08,1.06845933555556e-07,1.04505261544637e-07,9.9125248e-08,1.373437406e-07,1.3190673225e-07,1.29766021742577e-07,1.221275115e-07,1.601096709e-07,2.387896565e-07,2.30447975510423e-07,2.387896565e-07,2.888407065e-07,NA,NA,NA,NA,"Helmuth Brian","Same as PI","Helmuth Brian","spatial_block_1",0.178767123287671
"7",7,6.2,"Belize, Stann Creek, Curlew Caye",-88.07653,16.77592,"2017-10-03 15:00:00","2019-10-11 20:30:00","Tropical",10,0,70871,70871,3.00393635332429e-08,2.67010083629954e-08,2.7311272e-08,4.75631936e-08,6.63050052666667e-08,6.15558337568414e-08,6.1889297e-08,1.028289464e-07,8.73844020576923e-08,8.2227261431698e-08,8.3546947e-08,1.258771521e-07,1.24293952375e-07,1.17696328015147e-07,1.247918225e-07,1.645758228e-07,4.03739031e-07,4.00765869721093e-07,4.03739031e-07,4.428648614e-07,"Helmuth Brian","Same as PI","Helmuth Brian","spatial_block_1",2.02254566210046
"8",8,8.1,"Belize, Stann Creek, Cat Cay",-88.199404,16.652092,"2000-03-07 18:10:00","2001-03-18 18:00:00","Tropical",0,0.0591016548463357,54144,54112,1.06330745657754e-07,9.22805748992095e-08,1.01992471e-07,1.846690629e-07,1.90001818407407e-07,1.79643716437607e-07,1.82929122e-07,2.881194568e-07,2.36121714518519e-07,2.26212284397391e-07,2.38081117e-07,3.127823342e-07,2.97015420916667e-07,2.88963436049874e-07,3.137005235e-07,3.487278936e-07,6.7286783e-07,6.7286783e-07,6.7286783e-07,6.7286783e-07,"Helmuth Brian","Same as PI","Helmuth Brian","spatial_block_1",1.03011796042618
"9",9,8.2,"Belize, Stann Creek, Cat Cay",-88.199404,16.652092,"2001-03-18 20:20:00","2002-03-15 03:30:00","Tropical",2,37.4990389790113,52028,32518,6.85328655388889e-08,6.15684806808252e-08,6.5016687e-08,1.13677419e-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Helmuth Brian","Same as PI","Helmuth Brian","spatial_block_1",0.989859208523592
"10",10,9.1,"Belize, Stann Creek, Cat Cay",-88.196906,16.651963,"2000-08-05 19:10:00","2001-03-18 17:50:00","Tropical",0,0,32393,32393,6.59039317544643e-08,5.75432664488111e-08,6.1002568e-08,1.17194045e-07,1.365955881875e-07,1.27724141843889e-07,1.330288115e-07,2.035051635e-07,1.728377814375e-07,1.67104593267924e-07,1.733529565e-07,2.25166073e-07,2.18712097e-07,2.12437854467044e-07,2.01107854e-07,2.89000734e-07,NA,NA,NA,NA,"Helmuth Brian","Same as PI","Helmuth Brian","spatial_block_1",0.616286149162862
"11",11,9.2,"Belize, Stann Creek, Cat Cay",-88.196906,16.651963,"2001-04-01 05:20:00","2002-03-15 03:30:00","Tropical",2,37.4995010179234,50102,31314,4.30990649252874e-08,4.18820185305577e-08,3.5994319e-08,7.3166724e-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Helmuth Brian","Same as PI","Helmuth Brian","spatial_block_1",0.953215372907154
"12",12,9.3,"Belize, Stann Creek, Cat Cay",-88.196906,16.651963,"2001-03-18 20:10:00","2005-08-02 23:40:00","Tropical",5,46.5498361823981,230134,123007,3.77395096340136e-08,3.40514908082362e-08,3.6103578e-08,5.92988874e-08,8.62588141304348e-08,6.51186344442931e-08,5.6243096e-08,1.65130927e-07,1.38781193083333e-07,1.07147506295908e-07,9.29857055e-08,3.249681995e-07,1.97101791857143e-07,1.73229943809818e-07,1.68679135e-07,3.105143504e-07,5.7182037e-07,5.7182037e-07,5.7182037e-07,5.7182037e-07,"Helmuth Brian","Same as PI","Helmuth Brian","spatial_block_1",4.37848173515982
"13",13,9.4,"Belize, Stann Creek, Cat Cay",-88.196906,16.651963,"2001-03-18 20:10:00","2005-08-02 23:40:00","Tropical",10,49.8300989858083,230134,115458,2.85871003073593e-08,2.69906053028381e-08,2.8775681e-08,4.672697e-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Helmuth Brian","Same as PI","Helmuth Brian","spatial_block_1",4.37848173515982
"14",14,10.1,"Belize, Stann Creek, Channel Cay",-88.13632,16.662761,"2001-03-18 20:10:00","2005-08-02 23:40:00","Tropical",5,60.6998531290466,230134,90443,4.63867234372549e-08,4.39661021691687e-08,4.4736121e-08,6.49813474e-08,2.01679623666667e-07,1.38056460884519e-07,1.02913389e-07,3.762786674e-07,2.73766688e-07,2.13909676450847e-07,2.73766688e-07,4.104493272e-07,4.44619987e-07,4.44619987e-07,4.44619987e-07,4.44619987e-07,NA,NA,NA,NA,"Helmuth Brian","Same as PI","Helmuth Brian","spatial_block_1",4.37848173515982
"15",15,10.2,"Belize, Stann Creek, Channel Cay",-88.13632,16.662761,"2001-03-18 20:10:00","2005-01-01 09:40:00","Tropical",10,64.8898073007052,199378,70002,3.96395065420792e-08,3.69096707323211e-08,3.8482474e-08,5.92747517e-08,2.02819335e-07,1.32273001589494e-07,1.19029237e-07,3.804594778e-07,2.824231375e-07,2.30358984792736e-07,2.824231375e-07,4.131382579e-07,4.45817038e-07,4.45817038e-07,4.45817038e-07,4.45817038e-07,NA,NA,NA,NA,"Helmuth Brian","Same as PI","Helmuth Brian","spatial_block_1",3.79332191780822
"16",16,11,"Belize, Stann Creek, Manatee Cay",-88.192316,16.666483,"2000-08-13 04:50:00","2002-07-05 01:50:00","Tropical",5,55.7201877745499,99481,44050,8.46803662251656e-08,6.89911136312074e-08,6.7689788e-08,1.627189287e-07,2.08978826391304e-07,1.95620979908615e-07,2.09010314e-07,3.198210662e-07,2.67836721166667e-07,2.51693844077259e-07,2.58569296e-07,3.982131606e-07,3.73659759333333e-07,3.6143760481196e-07,3.628363365e-07,4.91430908e-07,NA,NA,NA,NA,"Helmuth Brian","Same as PI","Helmuth Brian","spatial_block_1",1.89280821917808
