plot_id,loc_name,long_in_degrees,lat_in_degrees,start_date,end_date,climate_classification,depth_in_m,temp_degC_percentage_missing_values,no_of_data,net_no_of_data,daily_a_mean,daily_gm_mean,daily_median,daily_ninetieth_perc,weekly_a_mean,weekly_gm_mean,weekly_median,weekly_ninetieth_perc,biweekly_a_mean,biweekly_gm_mean,biweekly_median,biweekly_ninetieth_perc,monthly_a_mean,monthly_gm_mean,monthly_median,monthly_ninetieth_perc,annual_a_mean,annual_gm_mean,annual_median,annual_ninetieth_perc,contributor,database,study,spatial_blocks,duration_in_years
1.1,"Belize, Stann Creek, Carrie Bow Cay",-88.082072,16.80127,3/20/2001 19:10,2/9/2005 9:30,Tropical,0,13.24012877,204711,177607,1.980791286,1.767617215,1.839,3.2808,3.466323529,3.31860663,3.3505,4.701,4.194676471,4.075935754,4.103,5.708,4.937958333,4.854812027,4.875,6.174,10.41275,10.35660483,10.275,11.6111,Helmuth Brian,Same as PI,Helmuth Brian,spatial_block_1,3.89478691
1.2,"Belize, Stann Creek, Carrie Bow Cay",-88.082072,16.80127,3/3/2000 16:10,10/13/2019 7:15,Tropical,2,46.51813597,822950,440129,1.310524124,1.213125959,1.23,1.91,2.253894558,2.139690635,2.11,3.183,2.741587838,2.609844229,2.51,3.97,3.366928571,3.217344636,3.175,4.71,7.569333333,7.203621145,7.77,9.596,Helmuth Brian,Same as PI,Helmuth Brian,spatial_block_1,19.62363965
2.1,"Belize, Stann Creek, Carrie Bow Cay",-88.079817,16.8009,3/4/2000 21:30,9/24/2012 23:00,Tropical,2,53.14001617,660538,309528,0.794271754,0.672876356,0.71,1.3885,1.569856802,1.400932299,1.464,2.4996,2.021,1.848523385,1.82,3.142,2.58342,2.397614398,2.401,3.8419,7.462,7.325934709,7.2685,8.587,Helmuth Brian,Same as PI,Helmuth Brian,spatial_block_1,12.56729452
2.2,"Belize, Stann Creek, Carrie Bow Cay",-88.079817,16.8009,3/17/2001 22:30,9/28/2018 21:15,Tropical,5,34.30889753,688798,452479,0.588243842,0.523884985,0.53,0.93,1.202406143,1.108753493,1.055,1.925,1.562027027,1.458762777,1.42,2.45,2.061056338,1.931835174,1.91,3.028,5.858571429,5.764311442,6.135,6.832,Helmuth Brian,Same as PI,Helmuth Brian,spatial_block_1,17.54506279
3,"Belize, Stann Creek, Carrie Bow Cay",-88.07863,16.79972,3/3/2000 16:10,10/24/2018 17:22,Tropical,10,36.46641468,856654,544263,0.550538647,0.450814986,0.44,0.99,1.149577039,0.99479858,0.93,2.079,1.526497006,1.335894474,1.25,2.567,2.098375,1.838001091,1.785,3.481,6.211111111,5.62669091,6.545,8.337,Helmuth Brian,Same as PI,Helmuth Brian,spatial_block_1,18.65493151
6.1,"Belize, Stann Creek, Curlew Caye",-88.07653,16.77592,10/3/2017 15:00,12/7/2017 21:00,Tropical,5,0,6265,6265,0.622363636,0.581240758,0.623,0.909,1.2816,1.221426848,1.333,1.6121,1.6486,1.639418801,1.598,1.8496,2.243333333,1.785168099,2.417,3.421,4.629,4.629,4.629,4.629,Helmuth Brian,Same as PI,Helmuth Brian,spatial_block_1,0.178767123
6.2,"Belize, Stann Creek, Curlew Caye",-88.07653,16.77592,10/3/2017 15:00,10/11/2019 20:30,Tropical,10,0,70871,70871,0.388936401,0.345326495,0.349,0.6182,0.854471698,0.791781374,0.7975,1.3965,1.127754717,1.062303823,1.077,1.6988,1.59,1.50635896,1.475,2.297,3.799666667,2.69969615,4.501,5.8538,Helmuth Brian,Same as PI,Helmuth Brian,spatial_block_1,2.022545662
8.1,"Belize, Stann Creek, Cat Cay",-88.199404,16.652092,3/7/2000 18:10,3/18/2001 18:00,Tropical,0,0.059101655,54144,54112,1.358832891,1.208079797,1.29,2.19,2.438518519,2.346951763,2.37,3.198,3.034074074,2.947689757,3.21,3.826,3.758461538,3.712266884,3.85,4.304,5.935,5.342471338,5.935,8.003,Helmuth Brian,Same as PI,Helmuth Brian,spatial_block_1,1.03011796
8.2,"Belize, Stann Creek, Cat Cay",-88.199404,16.652092,3/18/2001 20:20,3/15/2002 3:30,Tropical,2,37.49903898,52028,32518,0.700716253,0.649906715,0.79,1.23,1.439230769,1.348964303,1.29,2.24,1.843461538,1.758812869,1.74,2.55,2.603076923,2.451745848,2.63,3.25,6.8,6.8,6.8,6.8,Helmuth Brian,Same as PI,Helmuth Brian,spatial_block_1,0.989859209
9.1,"Belize, Stann Creek, Cat Cay",-88.196906,16.651963,8/5/2000 19:10,3/18/2001 17:50,Tropical,0,0,32393,32393,0.883097345,0.79544762,0.83,1.46,1.829393939,1.744747947,1.7,2.5,2.276470588,2.215207517,2.16,2.988,2.96125,2.923529314,2.855,3.547,7.54,7.54,7.54,7.54,Helmuth Brian,Same as PI,Helmuth Brian,spatial_block_1,0.616286149
