plot_id,loc_name,long_in_degrees,lat_in_degrees,start_date,end_date,climate_classification,depth_in_m,temp_degC_percentage_missing_values,no_of_data,net_no_of_data,daily_a_mean,daily_gm_mean,daily_median,daily_ninetieth_perc,weekly_a_mean,weekly_gm_mean,weekly_median,weekly_ninetieth_perc,biweekly_a_mean,biweekly_gm_mean,biweekly_median,biweekly_ninetieth_perc,monthly_a_mean,monthly_gm_mean,monthly_median,monthly_ninetieth_perc,annual_a_mean,annual_gm_mean,annual_median,annual_ninetieth_perc,contributor,database,study,spatial_blocks,duration_in_years
1.1,"Belize, Stann Creek, Carrie Bow Cay",-88.082072,16.80127,3/20/2001 19:10,2/9/2005 9:30,Tropical,0,13.24012877,204711,177607,2.121504829,1.907524427,2.005,3.4508,3.503870968,3.354490249,3.3465,4.7246,4.238951613,4.118245917,4.1715,5.708,5.033241379,4.958658575,4.94,6.166,9.94,9.907164843,9.452,10.7688,Helmuth Brian,Same as PI,Helmuth Brian,spatial_block_1,3.89478691
1.2,"Belize, Stann Creek, Carrie Bow Cay",-88.082072,16.80127,3/3/2000 16:10,10/13/2019 7:15,Tropical,2,46.51813597,822950,440129,1.393009079,1.278563468,1.32,2.087,2.306153846,2.14730574,2.12,3.395,2.84062069,2.667509955,2.52,4.068,3.570724638,3.367139297,3.25,4.87,9.16,9.124283175,9.23,9.985,Helmuth Brian,Same as PI,Helmuth Brian,spatial_block_1,19.62363965
2.1,"Belize, Stann Creek, Carrie Bow Cay",-88.079817,16.8009,3/4/2000 21:30,9/24/2012 23:00,Tropical,2,53.14001617,660538,309528,0.932803552,0.807799784,0.828,1.5758,1.730568182,1.578347644,1.585,2.412,2.276136364,2.092141536,2,3.3,2.975238095,2.807315587,2.66,4.2,7.71,7.70833964,7.71,7.838,Helmuth Brian,Same as PI,Helmuth Brian,spatial_block_1,12.56729452
2.2,"Belize, Stann Creek, Carrie Bow Cay",-88.079817,16.8009,3/17/2001 22:30,9/28/2018 21:15,Tropical,5,34.30889753,688798,452479,0.628229892,0.554717695,0.55,1.02,1.13420354,1.050401441,0.985,1.76,1.502608696,1.410951715,1.32,2.282,2.038148148,1.917766848,1.945,3.068,5.942,5.904382119,6.27,6.588,Helmuth Brian,Same as PI,Helmuth Brian,spatial_block_1,17.54506279
3,"Belize, Stann Creek, Carrie Bow Cay",-88.07863,16.79972,3/3/2000 16:10,10/24/2018 17:22,Tropical,10,36.46641468,856654,544263,0.604419036,0.489487909,0.5,1.08,0.94859375,0.827256407,0.76,1.551,1.24359375,1.09621482,1.055,2.255,1.806551724,1.612705773,1.41,3.14,7.195,7.155277772,7.195,7.799,Helmuth Brian,Same as PI,Helmuth Brian,spatial_block_1,18.65493151
6.1,"Belize, Stann Creek, Curlew Caye",-88.07653,16.77592,10/3/2017 15:00,12/7/2017 21:00,Tropical,5,0,6265,6265,0.63253125,0.595319084,0.625,0.917,1.366555556,1.343859254,1.334,1.6262,1.66125,1.649940168,1.5985,1.8842,3.0445,2.979131417,3.0445,3.5465,NA,NA,NA,NA,Helmuth Brian,Same as PI,Helmuth Brian,spatial_block_1,0.178767123
6.2,"Belize, Stann Creek, Curlew Caye",-88.07653,16.77592,10/3/2017 15:00,10/11/2019 20:30,Tropical,10,0,70871,70871,0.389409769,0.345927167,0.35,0.6184,0.859485714,0.798454812,0.803,1.3996,1.133442308,1.067307639,1.0775,1.7009,1.61525,1.533324349,1.524,2.298,5.3465,5.27922267,5.3465,6.0229,Helmuth Brian,Same as PI,Helmuth Brian,spatial_block_1,2.022545662
8.1,"Belize, Stann Creek, Cat Cay",-88.199404,16.652092,3/7/2000 18:10,3/18/2001 18:00,Tropical,0,0.059101655,54144,54112,1.365213904,1.216117699,1.29,2.19,2.438518519,2.346951763,2.37,3.198,3.034074074,2.947689757,3.21,3.826,3.7925,3.74416854,3.885,4.307,8.52,8.52,8.52,8.52,Helmuth Brian,Same as PI,Helmuth Brian,spatial_block_1,1.03011796
8.2,"Belize, Stann Creek, Cat Cay",-88.199404,16.652092,3/18/2001 20:20,3/15/2002 3:30,Tropical,2,37.49903898,52028,32518,0.894333333,0.809325948,0.85,1.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Helmuth Brian,Same as PI,Helmuth Brian,spatial_block_1,0.989859209
9.1,"Belize, Stann Creek, Cat Cay",-88.196906,16.651963,8/5/2000 19:10,3/18/2001 17:50,Tropical,0,0,32393,32393,0.889151786,0.797815177,0.83,1.504,1.8475,1.763024732,1.745,2.5,2.340625,2.295862855,2.27,3.01,2.97,2.926906193,2.81,3.606,NA,NA,NA,NA,Helmuth Brian,Same as PI,Helmuth Brian,spatial_block_1,0.616286149
9.2,"Belize, Stann Creek, Cat Cay",-88.196906,16.651963,4/1/2001 5:20,3/15/2002 3:30,Tropical,2,37.49950102,50102,31314,0.571551724,0.561099232,0.44,0.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Helmuth Brian,Same as PI,Helmuth Brian,spatial_block_1,0.953215373
9.3,"Belize, Stann Creek, Cat Cay",-88.196906,16.651963,3/18/2001 20:10,8/2/2005 23:40,Tropical,5,46.54983618,230134,123007,0.494993197,0.452744464,0.51,0.74,1.247826087,0.978624308,0.88,2.414,1.994166667,1.605334363,1.335,4.31,2.81,2.513226059,2.09,4.418,8.15,8.15,8.15,8.15,Helmuth Brian,Same as PI,Helmuth Brian,spatial_block_1,4.378481735
9.4,"Belize, Stann Creek, Cat Cay",-88.196906,16.651963,3/18/2001 20:10,8/2/2005 23:40,Tropical,10,49.83009899,230134,115458,0.371890332,0.355759492,0.37,0.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Helmuth Brian,Same as PI,Helmuth Brian,spatial_block_1,4.378481735
10.1,"Belize, Stann Creek, Channel Cay",-88.13632,16.662761,3/18/2001 20:10,8/2/2005 23:40,Tropical,5,60.69985313,230134,90443,0.597470588,0.570629609,0.5535,0.8255,2.64,1.767557037,1.28,4.984,3.595,2.75041815,3.595,5.447,5.91,5.91,5.91,5.91,NA,NA,NA,NA,Helmuth Brian,Same as PI,Helmuth Brian,spatial_block_1,4.378481735
