"","plot_id","measurement_date","oxy_conc","ph","salinity","temp"
"1","65 - (b)","2006-03-06 16:23:51",NA,NA,NA,18.818
"2","65 - (b)","2006-03-06 17:23:51",NA,NA,NA,18.818
"3","65 - (b)","2006-03-06 18:23:51",NA,NA,NA,18.794
"4","65 - (b)","2006-03-06 19:23:51",NA,NA,NA,18.794
"5","65 - (b)","2006-03-06 20:23:51",NA,NA,NA,18.747
"6","65 - (b)","2006-03-06 21:23:51",NA,NA,NA,18.699
"7","65 - (b)","2006-03-06 22:23:51",NA,NA,NA,18.699
"8","65 - (b)","2006-03-06 23:23:51",NA,NA,NA,18.652
"9","65 - (b)","2006-03-07 00:23:51",NA,NA,NA,18.628
"10","65 - (b)","2006-03-07 01:23:51",NA,NA,NA,18.58
"11","65 - (b)","2006-03-07 02:23:51",NA,NA,NA,18.557
"12","65 - (b)","2006-03-07 03:23:51",NA,NA,NA,18.533
"13","65 - (b)","2006-03-07 04:23:51",NA,NA,NA,18.509
"14","65 - (b)","2006-03-07 05:23:51",NA,NA,NA,18.485
"15","65 - (b)","2006-03-07 06:23:51",NA,NA,NA,18.485
"16","65 - (b)","2006-03-07 07:23:51",NA,NA,NA,18.461
"17","65 - (b)","2006-03-07 08:23:51",NA,NA,NA,18.414
"18","65 - (b)","2006-03-07 09:23:51",NA,NA,NA,18.39
"19","65 - (b)","2006-03-07 10:23:51",NA,NA,NA,18.39
"20","65 - (b)","2006-03-07 11:23:51",NA,NA,NA,18.39
"21","65 - (b)","2006-03-07 12:23:51",NA,NA,NA,18.39
"22","65 - (b)","2006-03-07 13:23:51",NA,NA,NA,18.39
"23","65 - (b)","2006-03-07 14:23:51",NA,NA,NA,18.414
"24","65 - (b)","2006-03-07 15:23:51",NA,NA,NA,18.414
"25","65 - (b)","2006-03-07 16:23:51",NA,NA,NA,18.438
"26","65 - (b)","2006-03-07 17:23:51",NA,NA,NA,18.461
"27","65 - (b)","2006-03-07 18:23:51",NA,NA,NA,18.461
"28","65 - (b)","2006-03-07 19:23:51",NA,NA,NA,18.485
"29","65 - (b)","2006-03-07 20:23:51",NA,NA,NA,18.485
"30","65 - (b)","2006-03-07 21:23:51",NA,NA,NA,18.485
"31","65 - (b)","2006-03-07 22:23:51",NA,NA,NA,18.485
"32","65 - (b)","2006-03-07 23:23:51",NA,NA,NA,18.485
"33","65 - (b)","2006-03-08 00:23:51",NA,NA,NA,18.485
"34","65 - (b)","2006-03-08 01:23:51",NA,NA,NA,18.461
"35","65 - (b)","2006-03-08 02:23:51",NA,NA,NA,18.438
"36","65 - (b)","2006-03-08 03:23:51",NA,NA,NA,18.438
"37","65 - (b)","2006-03-08 04:23:51",NA,NA,NA,18.39
"38","65 - (b)","2006-03-08 05:23:51",NA,NA,NA,18.366
"39","65 - (b)","2006-03-08 06:23:51",NA,NA,NA,18.366
"40","65 - (b)","2006-03-08 07:23:51",NA,NA,NA,18.343
