"","plot_id","loc_name","long_in_degrees","lat_in_degrees","start_date","end_date","duration_in_days","duration_in_years","measurement_freq_in_mins","depth_in_m","temp_degC_percentage_missing_values","no_of_data","net_no_of_data","climate_classification","annual_a_mean","annual_gm_mean","annual_median","annual_ninetieth_perc"
"1","1.1","Belize, Stann Creek, Carrie Bow Cay",-88.082072,16.80127,"2001-03-20 19:10:00","2005-02-09 9:30:00",1422,3.895,10,0,13.2401287668958,204711,177607,"Tropical",10.41275,10.3566048301211,10.275,11.6111
"2","1.2","Belize, Stann Creek, Carrie Bow Cay",-88.082072,16.80127,"2000-03-03 16:10:00","2019-10-13 7:15:00",5028,16.598,10,2,46.518135974239,822950,440129,"Tropical",7.56933333333333,7.20362114515539,7.77,9.596
"3","2.1","Belize, Stann Creek, Carrie Bow Cay",-88.079817,16.8009,"2000-03-04 21:30:00","2012-09-24 23:00:00",4587,12.567,10,2,53.1400161686383,660538,309528,"Tropical",7.462,7.3259347088498,7.2685,8.587
"4","2.2","Belize, Stann Creek, Carrie Bow Cay",-88.079817,16.8009,"2001-03-17 22:30:00","2018-09-28 21:15:00",4100,14.041,10,5,34.3088975287385,688798,452479,"Tropical",5.85857142857143,5.76431144173317,6.135,6.832
"5","3","Belize, Stann Creek, Carrie Bow Cay",-88.07863,16.79972,"2000-03-03 16:10:00","2018-09-25 5:15:00",5326,15.939,10,10,38.3694008723026,814167,501776,"Tropical",6.52058823529412,6.24735187511656,6.57,8.466
"6","6.2","Belize, Stann Creek, Curlew Caye",-88.07653,16.77592,"2017-10-03 15:00:00","2019-10-11 20:30:00",738,2.023,15,10,0,70871,70871,"Tropical",3.79966666666667,2.69969615016908,4.501,5.8538
"7","8.1","Belize, Stann Creek, Cat Cay",-88.199404,16.652092,"2000-03-07 18:10:00","2001-03-18 18:00:00",376,1.03,10,0,0.0591016548463357,54144,54112,"Tropical",5.935,5.34247133824787,5.935,8.003
"8","8.2","Belize, Stann Creek, Cat Cay",-88.199404,16.652092,"2001-03-18 20:20:00","2002-03-15 3:30:00",361,0.99,10,2,37.4990389790113,52028,32518,"Tropical",6.8,6.8,6.8,6.8
"9","9.1","Belize, Stann Creek, Cat Cay",-88.196906,16.651963,"2000-08-05 19:10:00","2001-03-18 17:50:00",225,0.616,10,0,0,32393,32393,"Tropical",7.54,7.54,7.54,7.54
"10","9.2","Belize, Stann Creek, Cat Cay",-88.196906,16.651963,"2001-04-01 5:20:00","2002-03-15 3:30:00",348,0.953,10,2,37.4995010179234,50102,31314,"Tropical",6.3,6.3,6.3,6.3
"11","9.3","Belize, Stann Creek, Cat Cay",-88.196906,16.651963,"2001-03-18 20:10:00","2005-08-02 23:40:00",1598,4.378,10,5,46.5498361823981,230134,123007,"Tropical",5.26,4.20800992339773,5.96,7.706
"12","9.4","Belize, Stann Creek, Cat Cay",-88.196906,16.651963,"2001-03-18 20:10:00","2005-08-02 23:40:00",1598,4.378,10,10,49.8300989858083,230134,115458,"Tropical",4.702,3.80352235383359,4.34,7.226
"13","10.1","Belize, Stann Creek, Channel Cay",-88.13632,16.662761,"2001-03-18 20:10:00","2005-08-02 23:40:00",1598,4.378,10,5,60.6998531290466,230134,90443,"Tropical",5.48725,5.39306973577137,5.2455,6.6716
"14","10.2","Belize, Stann Creek, Channel Cay",-88.13632,16.662761,"2001-03-18 20:10:00","2005-01-01 9:40:00",1385,3.793,10,10,64.8898073007052,199378,70002,"Tropical",5.302,5.25871125303763,5.59,5.8588
"15","11","Belize, Stann Creek, Manatee Cay",-88.192316,16.666483,"2000-08-13 4:50:00","2002-07-05 1:50:00",691,1.893,10,5,55.7201877745499,99481,44050,"Tropical",6.99,6.4884589849979,6.99,9.07
"16","12.1","Belize, Stann Creek, Manatee Cay",-88.187625,16.665048,"2001-03-18 19:00:00","2003-03-29 0:50:00",740,2.028,10,5,46.0195504521746,106596,57541,"Tropical",4.71333333333333,3.65709784170782,4.66,7.492
"17","12.2","Belize, Stann Creek, Manatee Cay",-88.187625,16.665048,"2000-08-05 19:10:00","2001-03-18 16:40:00",225,0.616,10,10,0,32386,32386,"Tropical",10.94,10.94,10.94,10.94
"18","13","Belize, Toledo, Sapodilla Cayes",-88.57228,16.19172,"2002-06-14 14:30:00","2007-11-12 19:30:00",1150,4.183,15,5,12.4183244674391,164676,144226,"Tropical",5.15333333333333,4.49606659482515,5.84,7.49
"19","14","Belize, Toledo, Snake Cayes",-88.26666,16.108138,"2002-07-12 12:30:00","2007-07-31 18:00:00",1122,4.034,15,5,0.628824748229172,124518,123735,"Tropical",5.39073336,4.98240575307423,5.924,7.1342
"20","27","Israel, Hadera Station",34.86307,32.47053,"2011-03-22 8:01:00","2020-06-10 4:51:00",3368,9.227,10,12,38.2000370744166,485510,300045,"Subtropical",11.38504829,9.07940836850516,14.0258102,15.25211651
"21","28","Israel, Ashkelon Station",34.49917,31.63472,"2012-07-27 4:50:00","2020-06-10 4:51:00",2875,7.877,10,11,53.1398994266061,414026,194013,"Subtropical",12.9530857571429,11.3176191112804,14.9519005,15.97338746
"22","29","South Africa, Tsitsikamma ",23.8997,-34.0228,"1991-06-29 14:00:00","2015-11-17 11:00:00",2941,23.672,60,10,0.040506719775477,207373,207289,"Subtropical",12.582,11.916561096627,13.3,14.422
"23","30.1","South Africa, Tsitsikamma ",23.8752,-34.0453,"1997-07-31 8:00:00","2004-12-31 21:00:00",519,6.511,60,12,0.354162283470089,57036,56834,"Subtropical",13.0875,13.0457334369274,12.86,14.359
"24","31","South Africa, Mangold ",25.5867,-34.0487,"1992-01-28 15:00:00","2005-11-17 10:00:00",1921,10.9,60,5,5.63810959965652,95493,90109,"Subtropical",12.3833333333333,12.2638032598779,12.905,13.753
"25","32","United Kingdom, English Channel",-4.13,50.15,"2009-03-17 1:05:00","2019-11-18 10:05:00",268,7.61,60,1.5,18.1756827691708,66677,54558,"Temperate",9.15090909090909,9.00234414267598,8.95,11.38
"26","33.1","Spain, Cap de Creus North (Portalo)",3.286557,42.33346,"2007-05-22 18:00:00","2019-06-28 10:00:00",4420,12.109,60,5,17.0602486872743,106077,87980,"Temperate",10.9843846153846,10.5803139229956,11.386,14.2664
"27","33.2","Spain, Cap de Creus North (Portalo)",3.286557,42.33346,"2007-05-22 18:00:00","2019-06-28 10:00:00",4420,12.109,60,10,9.80042799098768,106077,95681,"Temperate",11.2486153846154,10.8679857429407,12.074,13.932
"28","34.1","Spain, Cap de Creus South (El-Gat)",3.261413,42.236976,"2007-05-23 17:00:00","2018-11-22 13:00:00",4201,11.509,60,5,21.350075378878,100824,79298,"Temperate",11.7776666666667,11.5379959128538,12.1605,14.2167
"29","34.2","Spain, Cap de Creus South (El-Gat)",3.261413,42.236976,"2007-05-23 17:00:00","2018-11-22 13:00:00",4201,11.509,60,10,25.460207887011,100824,75154,"Temperate",11.5189090909091,11.3141870376531,11.471,14.213
"30","35.1","Spain, Medes Islands (Pota-del-Llop)",3.2254,42.0497,"2002-07-18 11:00:00","2019-07-02 10:00:00",6193,16.967,60,5,21.8997450232439,148641,116089,"Temperate",12.7974,12.7470374580019,12.7,14.576
"31","35.2","Spain, Medes Islands (Pota-del-Llop)",3.2254,42.0497,"2002-07-18 11:00:00","2019-07-02 10:00:00",6193,16.967,60,10,6.96981317402332,148641,138281,"Temperate",12.5238823529412,12.44278977587,12.51,14.4492
"32","36.1","France, Riou Nature Reserve",5.389873,43.171963,"1999-06-24 12:00:00","2017-11-20 9:00:00",6724,18.422,60,5,29.929978931714,161380,113079,"Temperate",12.7032142857143,12.6030739760588,13.123,13.9771
"33","36.2","France, Riou Nature Reserve",5.389873,43.171963,"1999-06-24 12:00:00","2017-11-20 9:00:00",6724,18.422,60,10,1.30995166687322,161380,159266,"Temperate",12.5653157894737,12.5146535978293,12.8,13.6246
"34","37.1","France, Port-Cros National Park",6.377994,43.016405,"1999-06-17 11:00:00","2018-07-10 9:00:00",6963,19.076,60,5,34.4897946971918,167119,109480,"Temperate",12.1888666666667,11.9773038309103,12.87,13.713
