"","plot_id","loc_name","long_in_degrees","lat_in_degrees","start_date","end_date","duration_in_days","duration_in_years","measurement_freq_in_mins","depth_in_m","temp_degC_percentage_missing_values","no_of_data","net_no_of_data","climate_classification","annual_a_mean","annual_gm_mean","annual_median","annual_ninetieth_perc"
"1","1.1","Belize, Stann Creek, Carrie Bow Cay",-88.082072,16.80127,"2001-03-20 19:10:00","2005-02-09 9:30:00",1422,3.895,10,0,13.2401287668958,204711,177607,"Tropical",9.94,9.90716484339442,9.452,10.7688
"2","1.2","Belize, Stann Creek, Carrie Bow Cay",-88.082072,16.80127,"2000-03-03 16:10:00","2019-10-13 7:15:00",5028,16.598,10,2,46.518135974239,822950,440129,"Tropical",9.16,9.12428317479263,9.23,9.985
"3","2.1","Belize, Stann Creek, Carrie Bow Cay",-88.079817,16.8009,"2000-03-04 21:30:00","2012-09-24 23:00:00",4587,12.567,10,2,53.1400161686383,660538,309528,"Tropical",7.71,7.70833963963706,7.71,7.838
"4","2.2","Belize, Stann Creek, Carrie Bow Cay",-88.079817,16.8009,"2001-03-17 22:30:00","2018-09-28 21:15:00",4100,14.041,10,5,34.3088975287385,688798,452479,"Tropical",5.942,5.90438211853455,6.27,6.588
"5","3","Belize, Stann Creek, Carrie Bow Cay",-88.07863,16.79972,"2000-03-03 16:10:00","2018-09-25 5:15:00",5326,15.939,10,10,38.3694008723026,814167,501776,"Tropical",7.195,7.15527777238592,7.195,7.799
"6","6.2","Belize, Stann Creek, Curlew Caye",-88.07653,16.77592,"2017-10-03 15:00:00","2019-10-11 20:30:00",738,2.023,15,10,0,70871,70871,"Tropical",5.3465,5.27922267005285,5.3465,6.0229
"7","8.1","Belize, Stann Creek, Cat Cay",-88.199404,16.652092,"2000-03-07 18:10:00","2001-03-18 18:00:00",376,1.03,10,0,0.0591016548463357,54144,54112,"Tropical",8.52,8.52,8.52,8.52
"8","8.2","Belize, Stann Creek, Cat Cay",-88.199404,16.652092,"2001-03-18 20:20:00","2002-03-15 3:30:00",361,0.99,10,2,37.4990389790113,52028,32518,"Tropical",NA,NA,NA,NA
"9","9.1","Belize, Stann Creek, Cat Cay",-88.196906,16.651963,"2000-08-05 19:10:00","2001-03-18 17:50:00",225,0.616,10,0,0,32393,32393,"Tropical",NA,NA,NA,NA
"10","9.2","Belize, Stann Creek, Cat Cay",-88.196906,16.651963,"2001-04-01 5:20:00","2002-03-15 3:30:00",348,0.953,10,2,37.4995010179234,50102,31314,"Tropical",NA,NA,NA,NA
"11","9.3","Belize, Stann Creek, Cat Cay",-88.196906,16.651963,"2001-03-18 20:10:00","2005-08-02 23:40:00",1598,4.378,10,5,46.5498361823981,230134,123007,"Tropical",8.15,8.15,8.15,8.15
"12","9.4","Belize, Stann Creek, Cat Cay",-88.196906,16.651963,"2001-03-18 20:10:00","2005-08-02 23:40:00",1598,4.378,10,10,49.8300989858083,230134,115458,"Tropical",NA,NA,NA,NA
"13","10.1","Belize, Stann Creek, Channel Cay",-88.13632,16.662761,"2001-03-18 20:10:00","2005-08-02 23:40:00",1598,4.378,10,5,60.6998531290466,230134,90443,"Tropical",NA,NA,NA,NA
"14","10.2","Belize, Stann Creek, Channel Cay",-88.13632,16.662761,"2001-03-18 20:10:00","2005-01-01 9:40:00",1385,3.793,10,10,64.8898073007052,199378,70002,"Tropical",NA,NA,NA,NA
"15","11","Belize, Stann Creek, Manatee Cay",-88.192316,16.666483,"2000-08-13 4:50:00","2002-07-05 1:50:00",691,1.893,10,5,55.7201877745499,99481,44050,"Tropical",NA,NA,NA,NA
"16","12.1","Belize, Stann Creek, Manatee Cay",-88.187625,16.665048,"2001-03-18 19:00:00","2003-03-29 0:50:00",740,2.028,10,5,46.0195504521746,106596,57541,"Tropical",NA,NA,NA,NA
"17","12.2","Belize, Stann Creek, Manatee Cay",-88.187625,16.665048,"2000-08-05 19:10:00","2001-03-18 16:40:00",225,0.616,10,10,0,32386,32386,"Tropical",NA,NA,NA,NA
"18","13","Belize, Toledo, Sapodilla Cayes",-88.57228,16.19172,"2002-06-14 14:30:00","2007-11-12 19:30:00",1150,4.183,15,5,12.4183244674391,164676,144226,"Tropical",6.77,6.68183066377137,7.13,7.706
"19","14","Belize, Toledo, Snake Cayes",-88.26666,16.108138,"2002-07-12 12:30:00","2007-07-31 18:00:00",1122,4.034,15,5,0.628824748229172,124518,123735,"Tropical",6.1791667,6.08670662299219,6.3905,7.1804
"20","27","Israel, Hadera Station",34.86307,32.47053,"2011-03-22 8:01:00","2020-06-10 4:51:00",3368,9.227,10,12,38.2000370744166,485510,300045,"Subtropical",NA,NA,NA,NA
"21","28","Israel, Ashkelon Station",34.49917,31.63472,"2012-07-27 4:50:00","2020-06-10 4:51:00",2875,7.877,10,11,53.1398994266061,414026,194013,"Subtropical",NA,NA,NA,NA
"22","29","South Africa, Tsitsikamma ",23.8997,-34.0228,"1991-06-29 14:00:00","2015-11-17 11:00:00",2941,23.672,60,10,0.040506719775477,207373,207289,"Subtropical",13.1882608695652,13.137340998972,13.3,14.426
"23","30.1","South Africa, Tsitsikamma ",23.8752,-34.0453,"1997-07-31 8:00:00","2004-12-31 21:00:00",519,6.511,60,12,0.354162283470089,57036,56834,"Subtropical",13.5166666666667,13.4944364928669,13.58,14.365
"24","31","South Africa, Mangold ",25.5867,-34.0487,"1992-01-28 15:00:00","2005-11-17 10:00:00",1921,10.9,60,5,5.63810959965652,95493,90109,"Subtropical",12.9733333333333,12.9480679786697,13.04,13.832
"25","32","United Kingdom, English Channel",-4.13,50.15,"2009-03-17 1:05:00","2019-11-18 10:05:00",268,7.61,60,1.5,18.1756827691708,66677,54558,"Temperate",NA,NA,NA,NA
"26","33.1","Spain, Cap de Creus North (Portalo)",3.286557,42.33346,"2007-05-22 18:00:00","2019-06-28 10:00:00",4420,12.109,60,5,17.0602486872743,106077,87980,"Temperate",13.2515,13.1876190984163,13.3615,14.578
"27","33.2","Spain, Cap de Creus North (Portalo)",3.286557,42.33346,"2007-05-22 18:00:00","2019-06-28 10:00:00",4420,12.109,60,10,9.80042799098768,106077,95681,"Temperate",12.8783333333333,12.8143192293326,12.42,14.6242
"28","34.1","Spain, Cap de Creus South (El-Gat)",3.261413,42.236976,"2007-05-23 17:00:00","2018-11-22 13:00:00",4201,11.509,60,5,21.350075378878,100824,79298,"Temperate",13.3744,13.3329490748032,13.817,14.4336
"29","34.2","Spain, Cap de Creus South (El-Gat)",3.261413,42.236976,"2007-05-23 17:00:00","2018-11-22 13:00:00",4201,11.509,60,10,25.460207887011,100824,75154,"Temperate",12.9493333333333,12.9051260320417,12.438,14.0556
"30","35.1","Spain, Medes Islands (Pota-del-Llop)",3.2254,42.0497,"2002-07-18 11:00:00","2019-07-02 10:00:00",6193,16.967,60,5,21.8997450232439,148641,116089,"Temperate",13.7015,13.6676317459163,13.5855,14.9145
"31","35.2","Spain, Medes Islands (Pota-del-Llop)",3.2254,42.0497,"2002-07-18 11:00:00","2019-07-02 10:00:00",6193,16.967,60,10,6.96981317402332,148641,138281,"Temperate",12.8114,12.7406317200367,12.826,14.5138
"32","36.1","France, Riou Nature Reserve",5.389873,43.171963,"1999-06-24 12:00:00","2017-11-20 9:00:00",6724,18.422,60,5,29.929978931714,161380,113079,"Temperate",NA,NA,NA,NA
"33","36.2","France, Riou Nature Reserve",5.389873,43.171963,"1999-06-24 12:00:00","2017-11-20 9:00:00",6724,18.422,60,10,1.30995166687322,161380,159266,"Temperate",12.6137222222222,12.561898012998,12.8035,13.6369
"34","37.1","France, Port-Cros National Park",6.377994,43.016405,"1999-06-17 11:00:00","2018-07-10 9:00:00",6963,19.076,60,5,34.4897946971918,167119,109480,"Temperate",NA,NA,NA,NA
"35","37.2","France, Port-Cros National Park",6.377994,43.016405,"1999-06-17 11:00:00","2018-07-10 9:00:00",6963,19.076,60,10,13.5998898988146,167119,144391,"Temperate",12.924125,12.8863869464115,12.956,14.0973
"36","38.1","France, Scandola Nature Reserve",8.54635,42.3802,"2004-05-15 12:00:00","2018-10-24 9:00:00",5275,14.452,60,5,22.3600129540841,126601,98293,"Temperate",14.7526,14.6719382778018,14.697,16.2468
"37","38.2","France, Scandola Nature Reserve",8.54635,42.3802,"2004-05-15 12:00:00","2018-10-24 9:00:00",5275,14.452,60,10,7.43990963736463,126601,117182,"Temperate",13.7274545454545,13.68061078615,14.176,15.03
"38","50","Tasmania, Cape Grim",144.6793,-40.6697,"2012-11-03 13:30:00","2013-11-10 16:30:00",372,1.02,30,10,0,17863,17863,"Temperate",9.102,9.102,9.102,9.102
"39","52","Tasmania, Cape Sorell",145.1781,-42.209,"2005-06-21 17:08:00","2007-12-06 15:08:00",898,2.46,60,11.7,0,21552,21552,"Temperate",6.0655,6.06507856503112,6.0655,6.1227
