"","plot_id","loc_name","long_in_degrees","lat_in_degrees","start_date","end_date","duration_in_days","duration_in_years","measurement_freq_in_mins","depth_in_m","temp_degC_percentage_missing_values","no_of_data","net_no_of_data","climate_classification","time_id","q_diurnal_a_mean","q_diurnal_gm_mean","q_diurnal_median","q_diurnal_ninetieth_perc","s_diurnal_a_mean","s_diurnal_gm_mean","s_diurnal_median","s_diurnal_ninetieth_perc","daily_a_mean","daily_gm_mean","daily_median","daily_ninetieth_perc","weekly_a_mean","weekly_gm_mean","weekly_median","weekly_ninetieth_perc","biweekly_a_mean","biweekly_gm_mean","biweekly_median","biweekly_ninetieth_perc","monthly_a_mean","monthly_gm_mean","monthly_median","monthly_ninetieth_perc"
"1","1.1","Belize, Stann Creek, Carrie Bow Cay",-88.082072,16.80127,"2001-03-20 19:10:00","2005-02-09 9:30:00",1422,3.895,10,0,13.2401287668958,204711,177607,"Tropical","1.1 - year_1",0.824718019257222,0.641169818666438,0.699999999999999,1.82,1.55540577716644,1.3753255944393,1.41,2.66,1.88461325966851,1.68742158745203,1.705,3.246,3.30288461538462,3.16816834492876,3.27,4.659,4.01615384615385,3.90600405801561,4.115,5.17,4.8425,4.79265907155584,4.915,5.392
"2","1.1","Belize, Stann Creek, Carrie Bow Cay",-88.082072,16.80127,"2001-03-20 19:10:00","2005-02-09 9:30:00",1422,3.895,10,0,13.2401287668958,204711,177607,"Tropical","1.1 - year_2",0.962054109589041,0.617026454928297,0.719999999999999,2.1637,1.83898356164384,1.60947495913065,1.69,3.052,2.12161643835616,1.88757580594634,1.981,3.516,3.64217307692308,3.48153171277912,3.505,5.07,4.39007692307692,4.26317222017701,4.2365,5.87,5.27841666666667,5.18104659209236,4.9855,6.69
"3","1.1","Belize, Stann Creek, Carrie Bow Cay",-88.082072,16.80127,"2001-03-20 19:10:00","2005-02-09 9:30:00",1422,3.895,10,0,13.2401287668958,204711,177607,"Tropical","1.1 - year_3",1.26053985872856,0.905274495880813,1.2,2.392,2.01592121212121,1.86229550660911,1.928,3.1,2.29483870967742,2.13753327105625,2.1985,3.4065,3.66685,3.53329691415521,3.37,4.764,4.4253,4.31922311684476,4.3215,5.752,4.9026,4.84313655476032,4.82,5.776
"4","1.1","Belize, Stann Creek, Carrie Bow Cay",-88.082072,16.80127,"2001-03-20 19:10:00","2005-02-09 9:30:00",1422,3.895,10,0,13.2401287668958,204711,177607,"Tropical","1.1 - year_4",1.58921100917431,1.39085151168533,1.451,2.7212,2.03446788990826,1.8182154439318,1.927,3.2788,2.38203658536585,2.1547475181872,2.3,3.8107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","1.2","Belize, Stann Creek, Carrie Bow Cay",-88.082072,16.80127,"2000-03-03 16:10:00","2019-10-13 7:15:00",5028,16.598,10,2,46.518135974239,822950,440129,"Tropical","1.2 - (a) - year_1",0.563758573388203,0.524038897889642,0.43,0.98,0.792225274725275,0.700771446054732,0.810000000000002,1.283,1.29162534435262,1.21832369619373,1.26,1.74,2.20903846153846,2.13808544471179,2.135,2.884,2.70730769230769,2.61969154547066,2.385,3.925,3.12583333333333,3.0333099659805,3.01,4.268
"6","1.2","Belize, Stann Creek, Carrie Bow Cay",-88.082072,16.80127,"2000-03-03 16:10:00","2019-10-13 7:15:00",5028,16.598,10,2,46.518135974239,822950,440129,"Tropical","1.2 - (a) - year_11",1.08011594202899,0.998153449622178,1,1.61,1.31449275362319,1.23792875535118,1.27,1.876,1.59395348837209,1.52328073354985,1.475,2.352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","1.2","Belize, Stann Creek, Carrie Bow Cay",-88.082072,16.80127,"2000-03-03 16:10:00","2019-10-13 7:15:00",5028,16.598,10,2,46.518135974239,822950,440129,"Tropical","1.2 - (a) - year_12",1.08161016949153,1.03121887915948,1.065,1.463,1.29440677966102,1.26400814131889,1.3,1.654,1.456,1.43727196658137,1.46,1.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","1.2","Belize, Stann Creek, Carrie Bow Cay",-88.082072,16.80127,"2000-03-03 16:10:00","2019-10-13 7:15:00",5028,16.598,10,2,46.518135974239,822950,440129,"Tropical","1.2 - (a) - year_13",0.929809523809524,0.836405758311005,0.859999999999999,1.544,1.44662420382166,1.37603700301826,1.37,2.078,1.76615384615385,1.70688916091407,1.84,2.316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","1.2","Belize, Stann Creek, Carrie Bow Cay",-88.082072,16.80127,"2000-03-03 16:10:00","2019-10-13 7:15:00",5028,16.598,10,2,46.518135974239,822950,440129,"Tropical","1.2 - (a) - year_14",0.82693661971831,0.739805913653144,0.759999999999998,1.303,1.32102112676056,1.25659667379984,1.28,1.764,1.6327972027972,1.57145869066593,1.56,2.158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","1.2","Belize, Stann Creek, Carrie Bow Cay",-88.082072,16.80127,"2000-03-03 16:10:00","2019-10-13 7:15:00",5028,16.598,10,2,46.518135974239,822950,440129,"Tropical","1.2 - (a) - year_2",1.05734210526316,0.962952316433625,0.900000000000002,1.5,1.279,1.20206381675157,1.2,1.8,1.61168421052632,1.54650670572762,1.5,2.2,3.46,3.4030316097874,3.57,4.034,3.86,3.84909080173487,3.86,4.092,4.15,4.15,4.15,4.15
