"","plot_id","loc_name","long_in_degrees","lat_in_degrees","start_date","end_date","duration_in_days","duration_in_years","measurement_freq_in_mins","depth_in_m","temp_degC_percentage_missing_values","no_of_data","climate_classification","daily_a_mean","daily_gm_mean","daily_median","daily_ninetieth_perc","weekly_a_mean","weekly_gm_mean","weekly_median","weekly_ninetieth_perc","biweekly_a_mean","biweekly_gm_mean","biweekly_median","biweekly_ninetieth_perc","monthly_a_mean","monthly_gm_mean","monthly_median","monthly_ninetieth_perc","annual_a_mean","annual_gm_mean","annual_median","annual_ninetieth_perc","net_no_of_data"
"1","1.1","Belize, Stann Creek, Carrie Bow Cay",-88.082072,16.80127,"2001-03-20 19:10:00","2005-02-09 09:30:00",1422,3.9,10,0,13.24,204711,"Tropical",2.12150482879719,1.90752442726,2.005,3.4508,3.50387096774194,3.35449024870568,3.3465,4.7246,4.23895161290323,4.11824591655833,4.1715,5.708,5.03324137931035,4.95865857483942,4.94,6.166,9.94,9.90716484339442,9.452,10.7688,177607
"2","1.2","Belize, Stann Creek, Carrie Bow Cay",-88.082072,16.80127,"2000-03-03 16:10:00","2013-12-09 00:00:00",5028,13.8,10,2,52.87,724080,"Tropical",1.39300907911803,1.27856346803587,1.32,2.087,2.30615384615385,2.14730573978678,2.12,3.395,2.84062068965517,2.66750995510821,2.52,4.068,3.57072463768116,3.36713929737984,3.25,4.87,9.16,9.12428317479263,9.23,9.985,341259
"3","2.1","Belize, Stann Creek, Carrie Bow Cay",-88.079817,16.8009,"2000-03-04 21:30:00","2012-09-24 23:00:00",4587,12.6,10,2,53.14,660538,"Tropical",0.932803551609323,0.807799784309236,0.828,1.5758,1.73056818181818,1.57834764410702,1.585,2.412,2.27613636363636,2.09214153627703,2,3.3,2.9752380952381,2.80731558684218,2.66,4.2,7.71,7.70833963963706,7.71,7.838,309528
"4","2.2","Belize, Stann Creek, Carrie Bow Cay",-88.079817,16.8009,"2001-03-17 22:30:00","2012-06-07 23:00:00",4100,11.2,10,5,38.8,590404,"Tropical",0.628229892336922,0.554717695411946,0.55,1.02,1.13420353982301,1.05040144142228,0.985,1.76,1.50260869565217,1.41095171487972,1.32,2.282,2.03814814814815,1.9177668477186,1.945,3.068,5.942,5.90438211853455,6.27,6.588,361327
"5","3","Belize, Stann Creek, Carrie Bow Cay",-88.07863,16.79972,"2000-03-03 16:10:00","2014-10-02 22:10:00",5326,14.6,10,10,40.73,766981,"Tropical",0.604419035846724,0.489487908955269,0.5,1.08,0.94859375,0.827256406785543,0.76,1.551,1.24359375,1.0962148203475,1.055,2.255,1.80655172413793,1.61270577349165,1.41,3.14,7.195,7.15527777238592,7.195,7.799,454590
"6","6.1","Belize, Stann Creek, Curlew Caye",-88.07653,16.77592,"2017-10-03 15:00:00","2017-12-07 21:00:00",65,0.2,15,5,0,6265,"Tropical",0.63253125,0.595319084358489,0.625,0.917,1.36655555555556,1.34385925365521,1.334,1.6262,1.66125,1.64994016753337,1.5985,1.8842,3.0445,2.97913141704088,3.0445,3.5465,NA,NA,NA,NA,6265
"7","6.2","Belize, Stann Creek, Curlew Caye",-88.07653,16.77592,"2017-10-03 15:00:00","2019-10-11 20:30:00",738,2,15,10,0,70871,"Tropical",0.389409769335142,0.345927166610714,0.35,0.6184,0.859485714285714,0.798454811901488,0.803,1.3996,1.13344230769231,1.06730763928253,1.0775,1.7009,1.61525,1.53332434910777,1.524,2.298,5.3465,5.27922267005285,5.3465,6.0229,70871
"8","8.1","Belize, Stann Creek, Cat Cay",-88.199404,16.652092,"2000-03-07 18:10:00","2001-03-18 18:00:00",376,1,10,0,0.06,54144,"Tropical",1.36521390374332,1.21611769858245,1.29,2.19,2.43851851851852,2.34695176345769,2.37,3.198,3.03407407407407,2.94768975710146,3.21,3.826,3.7925,3.74416853982595,3.885,4.307,8.52,8.52,8.52,8.52,54112
"9","8.2","Belize, Stann Creek, Cat Cay",-88.199404,16.652092,"2001-03-18 20:20:00","2002-03-15 03:30:00",361,1,10,2,37.5,52028,"Tropical",0.894333333333333,0.809325947698209,0.85,1.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32518
"10","9.1","Belize, Stann Creek, Cat Cay",-88.196906,16.651963,"2000-08-05 19:10:00","2001-03-18 17:50:00",225,0.6,10,0,0,32393,"Tropical",0.889151785714286,0.797815177358187,0.83,1.504,1.8475,1.7630247323876,1.745,2.5,2.340625,2.29586285513622,2.27,3.01,2.97,2.92690619326855,2.81,3.606,NA,NA,NA,NA,32393
"11","9.2","Belize, Stann Creek, Cat Cay",-88.196906,16.651963,"2001-04-01 05:20:00","2002-03-15 03:30:00",348,1,10,2,37.5,50102,"Tropical",0.571551724137931,0.561099231806387,0.44,0.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31314
"12","9.3","Belize, Stann Creek, Cat Cay",-88.196906,16.651963,"2001-03-18 20:10:00","2005-08-02 23:40:00",1598,4.4,10,5,46.55,230134,"Tropical",0.494993197278912,0.452744464488283,0.51,0.74,1.24782608695652,0.978624307547743,0.88,2.414,1.99416666666667,1.60533436330991,1.335,4.31,2.81,2.51322605880613,2.09,4.418,8.15,8.15,8.15,8.15,123007
"13","9.4","Belize, Stann Creek, Cat Cay",-88.196906,16.651963,"2001-03-18 20:10:00","2005-08-02 23:40:00",1598,4.4,10,10,49.83,230134,"Tropical",0.371890331890332,0.355759491839327,0.37,0.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,115458
"14","10.1","Belize, Stann Creek, Channel Cay",-88.13632,16.662761,"2001-03-18 20:10:00","2005-08-02 23:40:00",1598,4.4,10,5,60.7,230134,"Tropical",0.597470588235294,0.570629608729596,0.5535,0.8255,2.64,1.76755703705181,1.28,4.984,3.595,2.75041815002737,3.595,5.447,5.91,5.91,5.91,5.91,NA,NA,NA,NA,90443
"15","10.2","Belize, Stann Creek, Channel Cay",-88.13632,16.662761,"2001-03-18 20:10:00","2005-01-01 09:40:00",1385,3.8,10,10,64.89,199378,"Tropical",0.508933168316832,0.476505182968074,0.53,0.74,2.65,1.68620965831447,1.47,5.038,3.7,2.95247353925484,3.7,5.484,5.93,5.93,5.93,5.93,NA,NA,NA,NA,70002
"16","11","Belize, Stann Creek, Manatee Cay",-88.192316,16.666483,"2000-08-13 04:50:00","2002-07-05 01:50:00",691,1.9,10,5,55.72,99481,"Tropical",1.12761589403974,0.925456403706365,0.86,2.058,2.7895652173913,2.69885520854043,2.68,3.832,3.575,3.46350092847735,3.52,4.456,4.995,4.91806635250566,5.11,5.87,NA,NA,NA,NA,44050
"17","12.1","Belize, Stann Creek, Manatee Cay",-88.187625,16.665048,"2001-03-18 19:00:00","2003-03-29 00:50:00",740,2,10,5,46.02,106596,"Tropical",0.518846153846154,0.505597236280672,0.43,0.847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57541
"18","12.2","Belize, Stann Creek, Manatee Cay",-88.187625,16.665048,"2000-08-05 19:10:00","2001-03-18 16:40:00",225,0.6,10,10,0,32386,"Tropical",1.25183035714286,1.13937149573093,1.19,1.972,2.541875,2.4093030860824,2.48,3.092,3.314375,3.18205556454026,2.965,4.77,3.95428571428571,3.81914950299779,3.37,5.23,NA,NA,NA,NA,32386
"19","13","Belize, Toledo, Sapodilla Cayes",-88.57228,16.19172,"2002-06-14 14:30:00","2005-08-07 08:45:00",1150,3.2,15,5,16.21,110378,"Tropical",0.706103108415466,0.654677705947806,0.68,1.04,1.44638157894737,1.40057603200885,1.4,1.978,1.86078947368421,1.80309752431916,1.77,2.495,2.51514285714286,2.43559556450841,2.43,3.35,6.77,6.68183066377137,7.13,7.706,92486
"20","14","Belize, Toledo, Snake Cayes",-88.26666,16.108138,"2002-07-12 12:30:00","2005-08-07 08:45:00",1122,3.1,15,5,0.63,107698,"Tropical",0.541116063522013,0.500123570787592,0.50238855,0.832,1.12467499603524,1.0787623194513,1.093,1.5644,1.47995775752212,1.42519838983293,1.43,2.0048,1.96587824038462,1.89677884540685,1.9115,2.5732,6.1791667,6.08670662299219,6.3905,7.1804,107020
"21","25.1","China",117.4844444,23.65277778,"2018-07-01 10:30:00","2018-09-25 09:30:00",86,0.2,30,4,14.73,4127,"Subtropical",0.75875,0.652919126656765,0.71,1.208,2.15555555555556,2.01146466696763,1.84,3.448,2.8925,2.78570574512491,3.045,3.572,3.84,3.76404038235511,3.84,4.448,NA,NA,NA,NA,3519
"22","25.2","China",117.4844444,23.65277778,"2018-07-01 10:30:00","2018-09-25 09:30:00",86,0.2,30,7,5.57,4127,"Subtropical",0.763589743589744,0.656961357626164,0.69,1.229,2.119,1.98908629823574,1.66,3.424,2.926,2.8538111185922,2.94,3.55,3.92,3.84363109572186,3.92,4.536,NA,NA,NA,NA,3897
"23","25.3","China",117.4844444,23.65277778,"2018-07-01 10:30:00","2018-09-25 09:30:00",86,0.2,30,11.5,14.73,4127,"Subtropical",0.793611111111111,0.692893244008609,0.73,1.316,2.21444444444444,2.08399941304658,1.66,3.45,2.99,2.89808984180587,3.115,3.675,3.965,3.90182008811273,3.965,4.529,NA,NA,NA,NA,3519
"24","26.1","China",117.5094444,23.6375,"2019-06-26 11:20:00","2019-10-26 19:00:00",122,0.3,10,0,38.44,17619,"Subtropical",1.83297709923664,1.06393737890039,0.96,5.45,2.454,2.30763917594293,2.21,3.321,3.638,3.51418720289383,3.22,4.806,5.715,5.5616544301134,5.715,6.767,NA,NA,NA,NA,10846
